Site,Winter_Longitude,Winter_Latitude,Stopover_Longitude,Stopover_Latitude
Vomb,-12.70813164,10.43643889,-5.80472833461024,41.5122250305473
Vomb,-11.27929327,7.111185305,-5.7298718067676,42.1377911815728
Vomb,-10.62419555,11.01012744,-6.70771240783758,35.7222441194126
Vomb,-11.40107127,12.49045401,-3.78472030703856,35.0317896218565
Vomb,-12.90574938,8.010117642,-7.78702969605366,36.1738521529207
Vomb,-13.23043826,10.36005007,-8.13498526285268,41.7001672113317
Vomb,-10.00059211,9.524719158,0.959300832841419,47.859272088265
Vomb,-11.72473266,9.761893416,-6.7573928301255,40.9487808986899
Vomb,-11.50671989,7.573827486,-6.76286979515216,42.235575038153
Vomb,-6.652654057,7.582997553,-6.45974685945587,42.320455231195
Vomb,-11.2556507,9.82791231,-7.43766495365789,30.802082502126
Vomb,-10.89030659,6.596143356,-1.38524399788881,48.4167318466721
Vomb,-12.78151165,8.751514304,-7.94984403969379,29.4838535567869
Vomb,-10.0478379,10.394357,-1.63916051978386,43.8016898442
Vomb,-14.85180204,11.03147503,-8.65423578214869,42.4071322271439
Norway,-13.54433034,9.659171117,-7.99320433268581,43.082780984519
Tomsk,14.54214107,2.848717567,-6.51338430782315,30.8867250346787
Tomsk,19.89818012,9.068152111,-6.95630952097368,53.2184815905396
Tomsk,19.46320043,9.688226572,-2.99845578035904,67.0840354935248
Tomsk,15.33062531,5.414167831,-3.88458498461655,28.5268126285113
Tomsk,12.8394168,6.381966027,-6.6688684874892,58.1573269833424
Tomsk,18.21363128,7.170797486,-7.29081368963783,24.4607974484725
Ural,9.195511887,4.093563298,-5.80586725773477,37.8525302034372
Moscow,-4.405705107,9.259115066,0.0382451257202868,44.8789065490464
Moscow,-6.754876086,9.951783364,-7.24121920586916,33.9103491902666
Moscow,-9.514717655,9.088931204,-7.30904297240798,41.1725130129046
Moscow,12.7426662,5.95890454,-5.53992923571412,39.9020778373099
Dartmoor,-10.97996035,8.667609124,-8.40142477801667,38.9472656094659
Dartmoor,-8.602874462,14.75982103,-6.90775790461603,37.500769109812
Dartmoor,-13.03625883,9.520968221,-8.20765071407574,42.3559961123204
Dartmoor,-10.61027527,7.752926298,-8.4118682178092,40.5519706291756
Dartmoor,-10.6732849,8.133863401,-8.4140174962552,40.2765214422958
Dartmoor,-8.863264467,8.548031344,-4.59439379880677,41.5556007618359
Dartmoor,-10.99458041,11.49465864,-8.51126843422806,41.2140127727634
Dartmoor,-9.770850206,6.197175592,-7.28006665253658,41.8701505219229
Dartmoor,-7.994689659,5.638283733,-9.22115716726495,43.2038099089498
Dartmoor,-9.044955223,7.693814721,-7.70389572316279,41.8187087883128
Dartmoor,-10.57051903,8.343574562,-8.40169979476414,40.954457926026
Dartmoor,-10.09036683,13.46387125,-7.31327503449746,33.4984331622798
Dartmoor,-10.69627153,6.625222479,-9.02188248571385,43.16186263522
Dartmoor,-10.88227193,6.492101191,-7.63826816734819,41.2037628733924
Dartmoor,-10.99171414,20.48544153,-5.3254653533718,40.382581359232
Dartmoor,-11.42097295,10.09847991,-7.60416385623127,41.1374519648044
Dartmoor,-9.0084559380000009,5.524048161,-8.7418182665978,42.5765898310217
Dartmoor,-10.87956779,8.344625989,-8.68703689115392,39.0889193058849
Dartmoor,-8.61520571,10.47909111,-8.19800788424699,29.8248352500437
Dartmoor,-10.61085043,10.07553767,-8.46425279524147,40.1493325142268
Dartmoor,-10.58016263,10.39536165,-8.24002765210895,42.6744723482965
