Site,Location_Type,Longitude,Latitude
Dartmoor,Breeding,-3.7,50.6
Dartmoor,Stopover,-6.96006269673361,33.605640264295445
Dartmoor,Winter,-10.45599374,8.548031344
Drenthe,Breeding,6.4,52.8
Drenthe,Stopover,-3.2948254481709,34.3509150915235
Drenthe,Winter,-6.7714216060000005,9.484627674999999
Vomb,Breeding,13.6,55.7
Vomb,Stopover,-3.56021575367544,35.77830440013
Vomb,Winter,-11.40107127,9.761893416
Norway,Breeding,10.6,60
Norway,Stopover,-7.90192148099239,32.1219772559453
Norway,Winter,-13.54433034,9.659171117
Moscow,Breeding,36.7,55.7
Moscow,Stopover,3.34478552812722,34.1878920799597
Moscow,Winter,-5.5802905965,9.174023134999999
Ural,Breeding,59.9,56.9
Ural,Stopover,26.8662850971156,44.1337139073988
Ural,Winter,9.195511887,4.093563298
Tomsk,Breeding,84.6,56.2
Tomsk,Stopover,14.19882989568725,34.9290711545444
Tomsk,Winter,16.772128295,6.776381756499999
