Genus,Species,Clade,Higher Group,Order,Family,Extinct,Shape,Habitat,Total Length (cm),Fork Length (cm),Precaudal Length (cm),Head Length (cm),Snout Length (cm),OOL (cm),Head Height (cm),Mouth Width (cm),Dorsoventral Body Height (cm),Mediolateral Body Width (cm),Girth (cm),Prepectoral Length (cm),Prepelvic Length (cm),Bill Length (cm),Body Mass (g),Presence of Swimbladder,Presence of Heterocercal Caudal Fin,Specimen,Ontogenetic Status,Gender,Length As,N,drop,Reference,Weight Reference,Method of Measurement,Is Body Mass Estimated,Notes
Africanaspis,dorissa,Placodermi,Arthrodira,Arthrodira,Groenlandaspidae,TRUE,fusiform,demersal,23,,,4.583,0.97957251908397,3.60342748091603,3.27,,3.51,,,6.47,,,,0,TRUE,Gess and Trinajstic 2017,,,total length,1,,Gess and Trinajstic 2017,,measured from figure/photo,,"Estimated using FishBase equation for H. portjacksoni, given similar body shapes"
Amazichthys,trinajsticae,Placodermi,Arthrodira,Arthrodira,Selenosteidae,TRUE,elongate,pelagic,89.7,,69.62,13.58,2.03,11.55,13.99,11.05,19.6,,,20.73,47.713,,,0,TRUE,AA.MEM.DS.8,,,total length,1,,Jobbins et al. 2022,,measured from figure/photo,,
Bungartius,perissus,Placodermi,Arthrodira,Arthrodira,unknown,TRUE,fusiform,pelagic,,,,40.5,12.92,27.58,26.63,18.23,40.2079326923077,26.02,,37.81,,,,0,TRUE,CMNH 7573,,,estimated t.l.,1,,"Dunkle 1947, Present Study",,mixed,,"Body depth estimated by ""re-bending"" the ventral armor back into a natural position, given how unnaturally flat it is in Dunkle 1947"
Camuropiscis,concinnus,Placodermi,Arthrodira,Arthrodira,Camuropiscidae,TRUE,fusiform,neritic,,,,6.2,1.66,4.54,,,3.63,3.63,12.97,,,,,0,TRUE,WAM P50976,,,estimated t.l.,1,,Dennis and Miles 1979,Dennis and Miles 1979,mixed,,
Coccosteus,cuspidatus,Placodermi,Arthrodira,Arthrodira,Coccosteidae,TRUE,fusiform,demersal,39.4,,26.9,7.08,0.59,6.49,5.74,6.871,7.316,8.024,24.78,6.06,15.55,,,0,TRUE,Recon. (M & W 1968),,,total length,1,,Miles and Westoll 1968,,measured from figure/photo,,
Coccosteus,cuspidatus,Placodermi,Arthrodira,Arthrodira,Coccosteidae,TRUE,fusiform,demersal,34.39,,,7.12,0.75,6.37,,,,,,,10.41,,,0,TRUE,NMS 1900.12.12,,,total length,1,,Present Study,,Measured from specimen,,
Coccosteus,cuspidatus,Placodermi,Arthrodira,Arthrodira,Coccosteidae,TRUE,fusiform,demersal,29.62,,,6.24,1.06,5.18,,,,,,,,,,0,TRUE,NMS 1893.107.27,,,total length,1,,Present Study,,Measured from specimen,,
Coccosteus,cuspidatus,Placodermi,Arthrodira,Arthrodira,Coccosteidae,TRUE,fusiform,demersal,32.27,,,6.47,1.15,5.32,,,,,,,,,,0,TRUE,NMS 1897.55.6,,,total length,1,,Present Study,,Measured from specimen,,
Coccosteus,cuspidatus,Placodermi,Arthrodira,Arthrodira,Coccosteidae,1,fusiform,demersal,37.13,,23.14,6.75,1.36,5.39,,,8.21,,,7.52,15.7,,,0,TRUE,FMNH PF 1673,,,total length,1,,Present Study,,Measured from specimen,,"Depth approximated from specimen, individual is preserved on its side with the armor collapsed. Prepectoral length estimated to end of crushed pectoral fenestra. Precaudal length measured to the point where the hypurals thicken slightly, which has been suggested to be an indicator of the base of the caudal fin (Miles and Westoll 1968)"
Coccosteus,cuspidatus,Placodermi,Arthrodira,Arthrodira,Coccosteidae,1,fusiform,demersal,37.51,,29.42,7.72,1.26,6.28,,,,,,7.52,17.09,,,0,TRUE,ROM VP 52664,,,total length,1,,Present Study,,Measured from specimen,,Photos from https://collections.rom.on.ca/objects/936986/fossil-placoderm-fish?ctx=1f18330b-4344-4150-89d5-7faea206cc70&idx=0
Compagopiscis,croucheri,Placodermi,Arthrodira,Arthrodira,Stem Incisoscutoidea,1,fusiform,demersal,,,,6.6,0.48,6.12,4.69,3.94,6.21,5.49,,6.12,,,,0,TRUE,WAM 70.4.263,,,estimated t.l.,1,,Gardiner and Miles 1994; Trinajstic and Hazelton 2007,,mixed,,
Compagopiscis,croucheri,Placodermi,Arthrodira,Arthrodira,Stem Incisoscutoidea,1,fusiform,demersal,,,,4.53,,,,,3.38,4.09,,,,,,0,TRUE,P50904,,,estimated t.l.,1,,Gardiner and Miles 1994,NA,reported measurements,,
Compagopiscis,croucheri,Placodermi,Arthrodira,Arthrodira,Stem Incisoscutoidea,1,fusiform,demersal,,,,5.55,,,,,4.61,4.62,,,,,,0,TRUE,P50941,,,estimated t.l.,1,,Gardiner and Miles 1994,NA,reported measurements,,
Compagopiscis,croucheri,Placodermi,Arthrodira,Arthrodira,Stem Incisoscutoidea,1,fusiform,demersal,,,,6.48,0.73,5.75,,,6.13,6.13,20.848,,,,,0,TRUE,P50942,,,estimated t.l.,1,,Gardiner and Miles 1994,NA,mixed,,
Compagopiscis,croucheri,Placodermi,Arthrodira,Arthrodira,Stem Incisoscutoidea,1,fusiform,demersal,,,,4.31,,,,,3.23,3.63,,,,,,0,TRUE,P50943,,,estimated t.l.,1,,Gardiner and Miles 1994,NA,reported measurements,,
Dickosteus,threiplandi,Placodermi,Arthrodira,Arthrodira,Coccosteidae,1,fusiform,demersal,52.32,,,12.65,2.37,10.28,,,,,,,,,,0,TRUE,NHMUK PV P 49663,,,total length,1,,Present Study,,measured from specimen,,
Dickosteus,threiplandi,Placodermi,Arthrodira,Arthrodira,Coccosteidae,1,fusiform,demersal,43.7,,,9.22,0.679,8.299,,,,,,,,,,0,TRUE,NMS 1987.7.118,,,total length,1,,Present Study,,measured from specimen,,2 cm added to measurable length as this specimen is missing the distal tip of tail
Draconichthys,elegans,Placodermi,Arthrodira,Arthrodira,Selenosteidae,1,fusiform,,,,,14.227,2.707,11.52,,,,7.849,,,,,,0,TRUE,SMNK-PAL 6309,,,estimated t.l.,1,,Rücklin 2011,,measured from figure/photo,,
Dunkleosteus,terrelli,Placodermi,Arthrodira,Arthrodira,Dunkleosteidae,1,fusiform,pelagic,,,,25.76,4.02,21.74,,,,,,,,,,0,TRUE,CMNH 50322,juvenile,,estimated t.l.,1,,Johanson et al. 2019,,measured from figure/photo,,
Dunkleosteus,terrelli,Placodermi,Arthrodira,Arthrodira,Dunkleosteidae,1,fusiform,pelagic,,,,61.3,8.8,52.5,71.89,71.63,114,95,312.7,60.82,,,,0,TRUE,CMNH 5768,,,estimated t.l.,1,,Present Study,Present Study,measured from specimen,,"Body depth may need to be adjusted. On the one hand its possible the mediodorsal and anterior dorsolateral need to come down slightly, but on the other hand the anterior lateral may need to be reconstructed  deeper. The ventral armor is also unnaturally flat, and retrodeforming it into a more natural position might also increase body depth. Regardless, the body is deep compared to other Dunkleosteus specimens, it is just by how much might be biased by the reconstructions"
