x1km_square,species,present
NC0429,Acer pseudoplatanus,FALSE
NC0429,Achillea millefolium,FALSE
NC0429,Achillea ptarmica,FALSE
NC0429,Aegopodium podagraria,FALSE
NC0429,Aethusa cynapium,FALSE
NC0429,Ajuga reptans,FALSE
NC0429,Alliaria petiolata,FALSE
NC0429,Alnus glutinosa,FALSE
NC0429,Anagallis arvensis,FALSE
NC0429,Anchusa arvensis,FALSE
NC0429,Anemone nemorosa,FALSE
NC0429,Angelica sylvestris,FALSE
NC0429,Anthemis cotula,FALSE
NC0429,Anthriscus caucalis,FALSE
NC0429,Anthriscus sylvestris,FALSE
NC0429,Apium nodiflorum,FALSE
NC0429,Armeria maritima,FALSE
NC0429,Artemisia absinthium,FALSE
NC0429,Artemisia annua,FALSE
NC0429,Artemisia vulgaris,FALSE
NC0429,Aster tripolium,FALSE
NC0429,Atriplex patula,FALSE
NC0429,Atriplex portulacoides,FALSE
NC0429,Ballota nigra,FALSE
NC0429,Barbarea vulgaris,FALSE
NC0429,Bellis perennis,FALSE
NC0429,Berula erecta,FALSE
NC0429,Brassica napus,FALSE
NC0429,Brassica oleracea,FALSE
NC0429,Brassica rapa,FALSE
NC0429,Bryonia dioica,FALSE
NC0429,Buddleja davidii,FALSE
NC0429,Bupleurum tenuissimum,FALSE
NC0429,Calluna vulgaris,TRUE
NC0429,Caltha palustris,FALSE
NC0429,Calystegia sepium,FALSE
NC0429,Campanula rotundifolia,FALSE
NC0429,Capsella bursa,FALSE
NC0429,Cardamine flexuosa,FALSE
NC0429,Cardamine hirsuta,FALSE
NC0429,Cardamine pratensis,FALSE
NC0429,Carduus nutans,FALSE
NC0429,Carum verticillatum,FALSE
NC0429,Centaurea cyanus,FALSE
NC0429,Centaurea nigra,FALSE
NC0429,Centaurea scabiosa,FALSE
NC0429,Centaurium erythraea,FALSE
NC0429,Cerastium arvense,FALSE
NC0429,Cerastium fontanum,FALSE
NC0429,Cerastium glomeratum,FALSE
NC0429,Ceratocapnos claviculata,FALSE
NC0429,Chaerophyllum temulum,FALSE
NC0429,Chamaemelum nobile,FALSE
NC0429,Chamerion angustifolium,FALSE
NC0429,Chenopodium album,FALSE
NC0429,Chenopodium ficifolium,FALSE
NC0429,Chenopodium quinoa,FALSE
NC0429,Cichorium intybus,FALSE
NC0429,Circaea lutetiana,FALSE
NC0429,Cirsium arvense,FALSE
NC0429,Cirsium eriophorum,FALSE
NC0429,Cirsium palustre,FALSE
NC0429,Cirsium vulgare,FALSE
NC0429,Clematis vitalba,FALSE
NC0429,Clinopodium vulgare,FALSE
NC0429,Conium maculatum,FALSE
NC0429,Conopodium majus,FALSE
NC0429,Convolvulus arvensis,FALSE
NC0429,Conyza canadensis,FALSE
NC0429,Cotoneaster salicifolius,FALSE
NC0429,Crataegus monogyna,FALSE
NC0429,Crepis capillaris,FALSE
NC0429,Crepis vesicaria,FALSE
NC0429,Cruciata laevipes,FALSE
NC0429,Cytisus scoparius,FALSE
NC0429,Dactylorhiza fuchsii,FALSE
NC0429,Dactylorhiza maculata,TRUE
NC0429,Daucus carota,FALSE
NC0429,Digitalis ferruginea,FALSE
NC0429,Digitalis grandiflora,FALSE
NC0429,Digitalis purpurea,FALSE
NC0429,Dioscorea communis,FALSE
NC0429,Doronicum plantagineum,FALSE
NC0429,Drosera anglica,FALSE
NC0429,Drosera rotundifolia,FALSE
NC0429,Dryas octopetala,FALSE
NC0429,Epilobium hirsutum,FALSE
NC0429,Epilobium montanum,FALSE
NC0429,Epilobium obscurum,FALSE
NC0429,Epilobium palustre,FALSE
NC0429,Epilobium parviflorum,FALSE
NC0429,Epilobium roseum,FALSE
NC0429,Epilobium tetragonum,FALSE
NC0429,Erica cinerea,TRUE
NC0429,Erica tetralix,TRUE
NC0429,Eriophorum vaginatum,FALSE
NC0429,Eupatorium cannabinum,FALSE
NC0429,Euphorbia exigua,FALSE
NC0429,Euphorbia helioscopia,FALSE
NC0429,Euphrasia officinalis,FALSE
NC0429,Fagopyrum esculentum,FALSE
NC0429,Fallopia convolvulus,FALSE
NC0429,Filipendula ulmaria,FALSE
NC0429,Fumaria officinalis,FALSE
NC0429,Galeopsis speciosa,FALSE
NC0429,Galeopsis tetrahit,FALSE
NC0429,Galium aparine,FALSE
NC0429,Galium mollugo,FALSE
NC0429,Galium odoratum,FALSE
NC0429,Galium palustre,FALSE
NC0429,Galium saxatile,TRUE
NC0429,Galium verum,FALSE
NC0429,Genista anglica,FALSE
NC0429,Geranium dissectum,FALSE
NC0429,Geranium molle,FALSE
NC0429,Geranium nodosum,FALSE
NC0429,Geranium pratense,FALSE
NC0429,Geranium pyrenaicum,FALSE
NC0429,Geranium robertianum,FALSE
NC0429,Geum urbanum,FALSE
NC0429,Glechoma hederacea,FALSE
NC0429,Hedera helix,FALSE
NC0429,Helianthus annuus,FALSE
NC0429,Heracleum mantegazzianum,FALSE
NC0429,Heracleum sphondylium,FALSE
NC0429,Hippocrepis comosa,FALSE
NC0429,Hordeum vulgare,FALSE
NC0429,Hyacinthoides non,FALSE
NC0429,Hypericum forrestii,FALSE
NC0429,Hypericum perforatum,FALSE
NC0429,Hypericum pulchrum,FALSE
NC0429,Hypericum tetrapterum,FALSE
NC0429,Hypochaeris radicata,FALSE
NC0429,Ilex aquifolium,FALSE
NC0429,Impatiens glandulifera,FALSE
NC0429,Impatiens parviflora,FALSE
NC0429,Iris pseudacorus,FALSE
NC0429,Jacobaea erucifolia,FALSE
NC0429,Jacobaea vulgaris,FALSE
NC0429,Jasione montana,FALSE
NC0429,Juncus conglomeratus,FALSE
NC0429,Juncus effusus,FALSE
NC0429,Knautia arvensis,FALSE
NC0429,Lactuca serriola,FALSE
NC0429,Lamium album,FALSE
NC0429,Lamium galeobdolon,FALSE
NC0429,Lamium purpureum,FALSE
NC0429,Lapsana communis,FALSE
NC0429,Lathyrus aphaca,FALSE
NC0429,Lathyrus linifolius,FALSE
NC0429,Lathyrus pratensis,FALSE
NC0429,Leontodon hispidus,FALSE
NC0429,Leontodon saxatilis,FALSE
NC0429,Leucanthemum vulgare,FALSE
NC0429,Ligusticum scoticum,FALSE
NC0429,Limonium vulgare,FALSE
NC0429,Linaria vulgaris,FALSE
NC0429,Linum catharticum,FALSE
NC0429,Linum usitatissimum,FALSE
NC0429,Lonicera caprifolium,FALSE
NC0429,Lonicera periclymenum,FALSE
NC0429,Lotus angustissimus,FALSE
NC0429,Lotus corniculatus,TRUE
NC0429,Lotus pedunculatus,FALSE
NC0429,Lotus subbiflorus,FALSE
NC0429,Luzula campestris,FALSE
NC0429,Lysimachia nemorum,FALSE
NC0429,Lysimachia punctata,FALSE
NC0429,Lysimachia vulgaris,FALSE
NC0429,Lythrum alatum,FALSE
NC0429,Lythrum salicaria,FALSE
NC0429,Malva sylvestris,FALSE
NC0429,Matricaria chamomilla,FALSE
NC0429,Matricaria discoidea,FALSE
NC0429,Medicago lupulina,FALSE
NC0429,Melampyrum pratense,FALSE
NC0429,Mentha aquatica,FALSE
NC0429,Mentha arvensis,FALSE
NC0429,Mercurialis perennis,FALSE
NC0429,Myosotis arvensis,FALSE
NC0429,Myosotis discolor,FALSE
NC0429,Myosotis sylvatica,FALSE
NC0429,Narthecium ossifragum,TRUE
NC0429,Odontites vernus,FALSE
NC0429,Oenanthe crocata,FALSE
NC0429,Origanum vulgare,FALSE
NC0429,Ornithopus perpusillus,FALSE
NC0429,Oxalis acetosella,FALSE
NC0429,Panicum miliaceum,FALSE
NC0429,Papaver rhoeas,FALSE
NC0429,Pedicularis sylvatica,TRUE
NC0429,Persicaria amplexicaulis,FALSE
NC0429,Persicaria bistorta,FALSE
NC0429,Persicaria hydropiper,FALSE
NC0429,Persicaria lapathifolia,FALSE
NC0429,Persicaria maculosa,FALSE
NC0429,Peucedanum ostruthium,FALSE
NC0429,Picris echioides,FALSE
NC0429,Picris hieracioides,FALSE
NC0429,Pilosella officinarum,FALSE
NC0429,Pimpinella saxifraga,FALSE
NC0429,Pinguicula vulgaris,TRUE
NC0429,Plantago lanceolata,FALSE
NC0429,Plantago major,FALSE
NC0429,Plantago maritima,FALSE
NC0429,Poa annua,FALSE
NC0429,Polygala serpyllifolia,TRUE
NC0429,Polygala vulgaris,FALSE
