species,english_name,order,family
Rosa canina,Dog-rose,Rosales,Rosaceae
Vicia spp,Vetch,Fabales,Fabaceae
Alnus glutinosa,Alder,Fagales,Betulaceae
Prunus spinosa,Blackthorn,Rosales,Rosaceae
Sorbus aucuparia,Rowan,Rosales,Rosaceae
Ilex aquifolium,Holly,Aquifoliales,Aquifoliaceae
Rubus fruticosus,Bramble,Rosales,Rosaceae
Hedera helix,Ivy,Apiales,Araliaceae
Ulex europaeus,Gorse,Fabales,Fabaceae
Urtica dioica,Common Nettle,Rosales,Urticaceae
Filipendula ulmaria,Meadowsweet,Rosales,Rosaceae
Succisa pratensis,Devil's-bit Scabious,Dipsacales,Caprifoliaceae
Trifolium repens,White Clover,Fabales,Fabaceae
Chamerion angustifolium,Rosebay Willowherb,Myrtales,Onagraceae
Vicia benghalensis,Purple Vetch,Fabales,Fabaceae
Stellaria graminea,Lesser Stitchwort,Caryophyllales,Caryophyllaceae
Poa annua,Annual Meadow-grass,Poales,Poaceae
Hypochaeris radicata,Cat's-ear,Asterales,Asteraceae
Melampyrum pratense,Common Cow-wheat,Lamiales,Orobanchaceae
Galium saxatile,Heath Bedstraw,Gentianales,Rubiaceae
Potentilla erecta,Tormentil,Rosales,Rosaceae
Erica tetralix,Cross-leaved Heath,Ericales,Ericaceae
Eriophorum vaginatum,Hare's-tail Cottongrass,Poales,Cyperaceae
Lapsana communis,Nipplewort,Asterales,Asteraceae
Ranunculus repens,Creeping Buttercup,Ranunculales,Ranunculaceae
Cirsium arvense,Creeping Thistle,Asterales,Asteraceae
Plantago lanceolata,Ribwort Plantain,Lamiales,Plantaginaceae
Lathyrus pratensis,Meadow Vetchling,Fabales,Fabaceae
Anthriscus sylvestris,Cow Parsley,Apiales,Apiaceae
Geranium robertianum,Herb-Robert,Geraniales,Geraniaceae
Silene dioica,Red Campion,Caryophyllales,Caryophyllaceae
Galium aparine,Cleavers,Gentianales,Rubiaceae
Brassica napus,Oil-seed Rape,Brassicales,Brassicaceae
Anagallis arvensis,Scarlet Pimpernel,Ericales,Primulaceae
Odontites vernus,Red Bartsia,Lamiales,Orobanchaceae
Potentilla anserina,Silverweed,Rosales,Rosaceae
Prunella vulgaris,Selfheal,Lamiales,Lamiaceae
Bellis perennis,Daisy,Asterales,Asteraceae
Cirsium vulgare,Spear Thistle,Asterales,Asteraceae
Senecio vulgaris,Groundsel,Asterales,Asteraceae
Lamium album,White Dead-nettle,Lamiales,Lamiaceae
Myosotis arvensis,Field Forget-me-not,NA,Boraginaceae
Mercurialis perennis,Dog's Mercury,Malpighiales,Euphorbiaceae
