x1km_square,species,n_observed,genus,detected,country,longitude,latitude,habitat,land_cover,dominant_species,dominant_family,n_unique,dominant_flower_species,dominant_flower_order,n_unique_flowers,n_insects,total_insect_biomass,mean_insect_mass,broad_habitat,n_apidae,n_halictidae,n_syrphidae,annual_mean_temp,max_temp_warmest_month,min_temp_coldest_month,temp_annual_range,annual_total_prec,total_prec_wettest_month,total_prec_driest_month,n_months_at_least_15C,elevation,distance_to_coast
NC0429,Halictus tumulorum,0,Halictus,FALSE,Scotland,-5.329445975485786,58.210761750548286,H23 - Wet and dry heathland/ dry heather moorland,semi-natural,Melanogaster hirtella,Syrphidae,6,Calluna vulgaris,Ericales,17,5,56.97812520833333,11.395625041666666,heathland,0,0,6,8.159879684448242,15.942268371582031,1.3680412769317627,14.574227333068848,1595,192,73,0,78,1.5141478592154156
NC2313,Halictus tumulorum,0,Halictus,FALSE,Scotland,-4.994481270715724,58.075271591879016,H23 - Wet and dry heathland/ dry heather moorland,semi-natural,Melanogaster hirtella,Syrphidae,7,Galium saxatile,Gentianales,21,5,50.182667055555555,10.036533411111112,heathland,0,0,7,6.794854164123535,15.766249656677246,-0.8759999871253967,16.642250061035156,2016,233,100,0,309,19.855585288960423
NC5762,Halictus tumulorum,0,Halictus,FALSE,Scotland,-4.448844129519171,58.52720794892161,H23 - Wet and dry heathland/ dry heather moorland,semi-natural,Bombus jonellus,Syrphidae,10,Narthecium ossifragum,Dioscoreales,10,5,89.75217519166667,17.95043503833333,heathland,2,0,8,7.828011512756348,15.790099143981934,1.1405940055847168,14.649505615234377,1254,147,65,0,86,0.02371705268800182
NC7158,Halictus tumulorum,0,Halictus,FALSE,Scotland,-4.2063853730698115,58.49566845235885,H20 - Bracken dominated glades or hillsides,semi-natural,Lasioglossum fratellum,Halictidae,14,Calluna vulgaris,Ericales,29,22,370.48882755680785,16.840401252582176,heathland,3,3,7,7.458520889282227,15.895999908447266,0.4007500112056732,15.49524974822998,1280,146,70,0,146,6.143124662822167
NJ0327,Halictus tumulorum,0,Halictus,FALSE,Scotland,-3.6043336490409223,57.32777804707533,H27 - Mature coniferous woodland,semi-natural,Sericomyia silentis,Apidae,27,Calluna vulgaris,Ericales,20,152,6772.605273145225,44.55661363911332,woodland,15,4,15,6.451478958129883,17.114749908447266,-1.7657500505447388,18.88050079345703,1008,120,59,0,376,34.2098870668002
NJ6415,Halictus tumulorum,0,Halictus,FALSE,Scotland,-2.5896275599303795,57.228830570750745,H23 - Wet and dry heathland/ dry heather moorland,semi-natural,Bombus lucorum,Apidae,41,Calluna vulgaris,Ericales,10,460,23048.032010949828,50.10441741510832,heathland,19,3,27,7.405677318572998,17.86549949645996,-0.7459999918937683,18.611499786376953,804,85,54,0,207,32.799063212852325
NJ7638,Halictus tumulorum,0,Halictus,FALSE,Scotland,-2.39308058597149,57.43620362265199,H38 - Bare ground/weeds of arable field margins or fallow/recently abandoned arable crops (e.g. set-aside),agricultural,Episyrphus balteatus,Syrphidae,58,Ranunculus repens,Ranunculales,25,977,26386.210627372016,27.00738037602049,arable,19,6,35,7.898125171661377,18.13800048828125,-0.05674999952316284,18.19474983215332,748,75,50,0,121,27.55827668172508
NN5527,Halictus tumulorum,0,Halictus,FALSE,Scotland,-4.343987302656702,56.41752730466453,H23 - Wet and dry heathland/ dry heather moorland,semi-natural,Xylota segnis,Syrphidae,30,Galium saxatile,Gentianales,8,93,2604.6705499398204,28.00721021440667,heathland,14,0,20,6.199531078338623,15.216500282287598,-0.7950000166893005,16.011499404907227,2121,273,105,0,414,40.387779182301
NN6693,Halictus tumulorum,0,Halictus,FALSE,Scotland,-4.200166437686534,57.013252103091375,H12 - Acid bog/mire habitats,semi-natural,Sericomyia silentis,Syrphidae,24,Calluna vulgaris,Ericales,17,91,3182.7532939079274,34.975310922065134,wetland,12,2,16,5.1554789543151855,15.1274995803833,-2.288000106811523,17.41550064086914,1928,243,100,0,621,62.97817007080565
NN7911,Halictus tumulorum,0,Halictus,FALSE,Scotland,-3.947883031242187,56.28060466774053,H23 - Wet and dry heathland/ dry heather moorland,semi-natural,Bombus lucorum,Apidae,22,Potentilla erecta,Rosales,5,121,6749.090910168541,55.77761082783918,heathland,12,0,14,7.541500091552734,17.47825050354004,-0.12400000542402267,17.602251052856445,1338,167,67,0,210,22.872294815660258
NN8369,Halictus tumulorum,0,Halictus,FALSE,Scotland,-3.909362755502153,56.80237962935105,H23 - Wet and dry heathland/ dry heather moorland,semi-natural,Sericomyia silentis,Apidae,6,Galium saxatile,Gentianales,9,11,447.9829455641892,40.7257223240172,heathland,6,0,3,6.517635345458984,16.931249618530273,-1.493499994277954,18.42474937438965,1336,172,68,0,364,61.183242673293186
NN8497,Halictus tumulorum,0,Halictus,FALSE,Scotland,-3.905777352744407,57.054022372414295,H27 - Mature coniferous woodland,semi-natural,Xylota segnis,Syrphidae,26,Calluna vulgaris,Ericales,11,92,2937.5885391339534,31.930310207977755,woodland,10,1,19,6.189541816711426,16.685749053955078,-1.8702499866485596,18.555999755859375,1292,161,70,0,423,58.91434534161477
NN8664,Halictus tumulorum,0,Halictus,FALSE,Scotland,-3.858044987045609,56.75822783342829,H20 - Bracken dominated glades or hillsides,semi-natural,Bombus lucorum,Apidae,22,Potentilla erecta,Rosales,12,169,8456.407595381172,50.03791476556906,heathland,16,0,11,6.517635345458984,16.931249618530273,-1.493499994277954,18.42474937438965,1336,172,68,0,364,55.37392169404205
NO4923,Halictus tumulorum,0,Halictus,FALSE,Scotland,-2.8197943754989305,56.40102909943893,H17 - Dry semi/unimproved (flower-rich) neutral grassland,semi-natural,Bombus lucorum,Apidae,8,Erica cinerea,Ericales,15,32,1811.288670674223,56.60277095856947,grassland/herbaceous,7,0,5,8.361178398132324,18.84024429321289,0.13780488073825836,18.70244026184082,647,67,42,0,13,2.4414526697557433
