x1km_square,species,n_observed
NC0429,Anasimyia contracta,0
NC0429,Anasimyia lineata,0
NC0429,Anasimyia transfuga,0
NC0429,Andrena alfkenella,0
NC0429,Andrena angustior,0
NC0429,Andrena bicolor,0
NC0429,Andrena bucephala,0
NC0429,Andrena chrysosceles,0
NC0429,Andrena cineraria,0
NC0429,Andrena coitana,0
NC0429,Andrena denticulata,0
NC0429,Andrena dorsata,0
NC0429,Andrena flavipes,0
NC0429,Andrena fucata,0
NC0429,Andrena fulva,0
NC0429,Andrena haemorrhoa,0
NC0429,Andrena helvola,0
NC0429,Andrena humilis,0
NC0429,Andrena lapponica,0
NC0429,Andrena minutula,0
NC0429,Andrena nigriceps,0
NC0429,Andrena nigroaenea,0
NC0429,Andrena nitida,0
NC0429,Andrena scotica,0
NC0429,Andrena semilaevis,0
NC0429,Andrena subopaca,0
NC0429,Andrena synadelpha,0
NC0429,Andrena tarsata,0
NC0429,Andrena thoracica,0
NC0429,Andrena trimmerana,0
NC0429,Andrena wilkella,0
NC0429,Anthidium manicatum,0
NC0429,Anthophora furcata,0
NC0429,Anthophora plumipes,0
NC0429,Apis mellifera,0
NC0429,Arctophila superbiens,0
NC0429,Bombus barbutellus,0
NC0429,Bombus bohemicus,0
NC0429,Bombus campestris,0
NC0429,Bombus hortorum,0
NC0429,Bombus humilis,0
NC0429,Bombus hypnorum,0
NC0429,Bombus jonellus,0
NC0429,Bombus lapidarius,0
NC0429,Bombus lucorum,0
NC0429,Bombus monticola,0
NC0429,Bombus muscorum,0
NC0429,Bombus pascuorum,0
NC0429,Bombus pratorum,0
NC0429,Bombus ruderarius,0
NC0429,Bombus ruderatus,0
NC0429,Bombus rupestris,0
NC0429,Bombus soroeensis,0
NC0429,Bombus sylvestris,0
NC0429,Bombus terrestris,0
NC0429,Bombus vestalis,0
NC0429,Chalcosyrphus nemorum,0
NC0429,Cheilosia albitarsis,0
NC0429,Cheilosia bergenstammi,0
NC0429,Cheilosia fraterna,0
NC0429,Cheilosia illustrata,0
NC0429,Cheilosia lasiopa,0
NC0429,Cheilosia latifrons,0
NC0429,Cheilosia pagana,0
NC0429,Cheilosia proxima,0
NC0429,Cheilosia soror,0
NC0429,Cheilosia vernalis,0
NC0429,Chelostoma campanularum,0
NC0429,Chrysogaster cemiteriorum,0
NC0429,Chrysogaster virescens,0
NC0429,Chrysotoxum arcuatum,0
NC0429,Chrysotoxum bicinctum,0
NC0429,Chrysotoxum festivum,0
NC0429,Chrysotoxum verralli,0
NC0429,Coelioxys elongata,0
NC0429,Coelioxys inermis,0
NC0429,Colletes similis,0
NC0429,Colletes succinctus,0
NC0429,Dasypoda hirtipes,0
NC0429,Dasysyrphus albostriatus,0
NC0429,Dasysyrphus neovenustus,0
NC0429,Dasysyrphus tricinctus,0
NC0429,Dasysyrphus venustus,0
NC0429,Epistrophe grossulariae,0
NC0429,Episyrphus balteatus,1
NC0429,Eristalinus aeneus,0
NC0429,Eristalinus sepulchralis,0
NC0429,Eristalis abusiva,0
NC0429,Eristalis abusivus,0
NC0429,Eristalis arbustorum,0
NC0429,Eristalis horticola,0
NC0429,Eristalis intricaria,0
NC0429,Eristalis intricarius,0
NC0429,Eristalis nemorum,0
NC0429,Eristalis pertinax,0
NC0429,Eristalis rupium,0
NC0429,Eristalis tenax,0
NC0429,Eucera longicornis,0
NC0429,Eumerus funeralis,0
NC0429,Eumerus ornatus,0
NC0429,Eumerus strigatus,0
NC0429,Eupeodes corollae,0
NC0429,Eupeodes latifasciatus,0
NC0429,Eupeodes luniger,0
NC0429,Ferdinandea cuprea,0
NC0429,Halictus confusus,0
NC0429,Halictus eurygnathus,0
NC0429,Halictus rubicundus,0
NC0429,Halictus tumulorum,0
NC0429,Helophilus hybridus,0
NC0429,Helophilus pendulus,0
