sciname,FE,CA,MG,depth_range_deep,lmax,tl_trophic_level,order
Amphioctopus marginatus,0.244,1.792,1.654,190,30,3.36,Octopoda
Anadara broughtonii,1.2793675,743.725,358.8,60,9.89,2,Arcida
Apostichopus japonicus,1.7666666666666666,66.66666666666667,124.66666666666667,200,30,2.37,Synallactida
Arctica islandica,5.3,62.9,73,482,13,2,Venerida
Aristeus antennatus,9,121,39,3300,22,3.3,Decapoda
Atrina pectinata,4.0249999999999995,25.75,36,200,39,2,Ostreida
Babylonia spirata,1.5565,66.7375,188.638,60,5.8,2,Neogastropoda
Birgus latro,1.735,192,46.92,5,20,2.93,Decapoda
Buccinum undatum,6.68,493.31,1113.55,600,10.16,3.35,Neogastropoda
Calappa granulata,15.63,375.9218,54.1039,700,10,3.94,Decapoda
Callinectes pallidus,1.091,2100.2815,3054.212,30,10.9,3.31,Decapoda
Callinectes sapidus,0.899,155.8505882352941,40.81058823529412,90,22.7,4,Decapoda
Chamelea gallina,8.4975,238.00968,78.804675,25,5,2,Venerida
Chionoecetes opilio,1.378,143,47.6,1400,13.693,3.54,Decapoda
Crassostrea rhizophorae,2.6666666666666665,140,13.666666666666666,50,12,2,Ostreida
Crassostrea virginica,6.45578947368421,63.705263157894734,35.477777777777774,79,35.5,2,Ostreida
Cucumaria frondosa,18.82,90,240,500,50,2,Dendrochirotida
Eriocheir sinensis,9.966666666666667,203,23,25,7.5,2.85,Decapoda
Euphausia superba,1,328.2,97.5,130,3,2.25,Euphausiacea
Eusergestes arcticus,0.32,532,378,4500,1.37,3.2,Decapoda
Gonatus fabricii,1.0015151515454546,29.27878787909091,35.816666667,2700,38.5,3.65,Oegopsida
Haliotis discus,20.83,66.66666666666667,26,30,10.94,2,Lepetellida
Hexaplex trunculus,11.333333333333334,736.6,159.03333333333333,100,8.284,3.48,Neogastropoda
Holothuria scabra,25,2000,800,10,40,2.85,Holothuriida
Homarus americanus,1.2650000000000001,74.8125,35.833333333333336,480,114,3.7,Decapoda
Homarus gammarus,0.36,76.2,22.75,150,65,3.7,Decapoda
Jasus edwardsii,0.325,44,40.25,200,58,3.48,Decapoda
Littorina littorea,1.7595,87.5,250,60,4.2,2,Littorinimorpha
Loligo vulgaris,1.866405882352941,36.0339625,64.1698,500,64,4.5,Myopsida
Maja brachydactyla,8.835,138.15,47.800000000000004,80,22,3.21,Decapoda
Meganyctiphanes norvegica,2.15,658,163,600,4,2.97,Euphausiacea
Meretrix meretrix,4.396,36.951,76.5295,20,10.25,2,Venerida
Metapenaeus affinis,0.3846666666666667,77.71833333333333,45.20333333333333,92,22.2,3.93,Decapoda
Metapenaeus endeavouri,0.2,66.4,58.8,60,17.5,2.89,Decapoda
Metapenaeus joyneri,1,56,30,20,12.5,4.65,Decapoda
Metapenaeus macleayi,2.854,649.6,50.8,37,16.2,3.73,Decapoda
Metapenaeus monoceros,1.8584615384615386,243.31666666666666,44.125,170,22.6,3.35,Decapoda
Mimachlamys varia,5.18,14,24.8,200,10,2,Pectinida
Mizuhopecten yessoensis,1.2333333333333334,25,61.666666666666664,100,25,2,Pectinida
Modiolus barbatus,6.52,14.45,40.08,200,6.611,3.4,Mytilida
Mytilus edulis,11.405416666666667,54.968,57.705882352941174,60,11,2,Mytilida
Mytilus galloprovincialis,14.663214285714286,87.87466666666667,69.33714285714285,200,16.5,2.69,Mytilida
Nephrops norvegicus,2.839722222222222,77.18867777777778,50.55764444444444,800,24,3.67,Decapoda
Octopus cyanea,14.2,900,300,150,22,3.55,Octopoda
Octopus vulgaris,3.6366545454545456,43.23531818181818,64.59757142857143,347,180,3.74,Octopoda
Ommastrephes bartramii,0.1,12,46,2200,90,4.42,Oegopsida
Oratosquilla oratoria,1.6666666666666667,93.66666666666667,40,100,18.5,3.48,Stomatopoda
Ostrea edulis,4.604490909090909,68.7617909090909,67.41764545454545,200,12,2,Ostreida
Ostrea lurida,10.3,68,48,71,9,2,Ostreida
Pandalus borealis,0.44944444450000004,51.666666666666664,43.72222222166667,1450,16.5,3.07,Decapoda
Pandalus jordani,0.345,35.3,28.05,457,3,3.23,Decapoda
Paralithodes camtschaticus,0.8,77.6,47.142857142857146,461,22,3.73,Decapoda
Parapenaeus longirostris,7.186266666666667,82.1781,48.2544,828,19,3.68,Decapoda
Parastichopus regalis,36.9,2630,2270,800,35,3.48,Synallactida
Pecten novaezelandiae,1.3800000000000001,58.2,62,170,14,2,Pectinida
Penaeus chinensis,2.033333333333333,114.66666666666667,45,180,22.3,2,Decapoda
Penaeus esculentus,0.294,181.6,57,61,15.5,2.77,Decapoda
Penaeus indicus,4.20525,352.23333333333335,146.5,90,23.5,3.32,Decapoda
Penaeus merguiensis,0.35000000000000003,35.142857142857146,27.833333333333332,55,24,3.77,Decapoda
Penaeus monodon,2.6447123529411765,82.87266666666667,62.88666666666666,150,35,3.36,Decapoda
Penaeus semisulcatus,1.341,70.92,47.833333333333336,300,26,2.92,Decapoda
Periphylla periphylla,0.04,43,105,2900,35,3.29,Coronatae
Perna canaliculus,5,65.55555555555556,93,100,15,2,Mytilida
Perna viridis,9.502,149.72,120.728,100,16.5,2,Mytilida
Portunus pelagicus,1.2045882352941177,156.625,43.142857142857146,65,20,2.48,Decapoda
Portunus sanguinolentus,2.71,275.9,72.52000000000001,80,21.5,3.58,Decapoda
Portunus trituberculatus,1.2666666666666666,106.33333333333333,60,50,15.86,3.72,Decapoda
Rapana venosa,3.98235,101.29155,276.8222,60,16.1,3.1,Neogastropoda
Ruditapes philippinarum,19.6,117.7,67.25,100,8,2,Venerida
Scylla serrata,3.1725,286.5,44.184,50,28,3.17,Decapoda
Scyllarides latus,1.41285,44.2445,42.757,100,45,3.86,Decapoda
Sepia esculenta,1.35,48,48,150,18,3.39,Sepiida
Sepia officinalis,3.64157125,30.4344625,213.54205,242,49,4.27,Sepiida
Sepiella inermis,1.6055000000000001,2.671,1.7375,160,12.5,3.83,Sepiida
