x1km_square,country,longitude,latitude,habitat,land_cover,dominant_species,dominant_family,annual_mean_temp,max_temp_warmest_month,min_temp_coldest_month,temp_annual_range,annual_total_prec,total_prec_wettest_month,total_prec_driest_month,n_months_at_least_15C,elevation
NC0429,Scotland,-5.329445975485786,58.210761750548286,H23 - Wet and dry heathland/ dry heather moorland,semi-natural,Melanogaster hirtella,Syrphidae,8.159879684448242,15.942268371582031,1.3680412769317627,14.574227333068848,1595,192,73,0,78
NC2313,Scotland,-4.994481270715724,58.075271591879016,H23 - Wet and dry heathland/ dry heather moorland,semi-natural,Melanogaster hirtella,Syrphidae,6.794854164123535,15.766249656677246,-0.8759999871253967,16.642250061035156,2016,233,100,0,309
NC5762,Scotland,-4.448844129519171,58.52720794892161,H23 - Wet and dry heathland/ dry heather moorland,semi-natural,Bombus jonellus,Syrphidae,7.828011512756348,15.790099143981934,1.1405940055847168,14.649505615234375,1254,147,65,0,86
NC7158,Scotland,-4.2063853730698115,58.49566845235885,H20 - Bracken dominated glades or hillsides,semi-natural,Lasioglossum fratellum,Halictidae,7.458520889282227,15.895999908447266,0.4007500112056732,15.49524974822998,1280,146,70,0,146
NJ0327,Scotland,-3.6043336490409223,57.32777804707533,H27 - Mature coniferous woodland,semi-natural,Sericomyia silentis,Apidae,6.451478958129883,17.114749908447266,-1.7657500505447388,18.88050079345703,1008,120,59,0,376
NJ6415,Scotland,-2.5896275599303795,57.228830570750745,H23 - Wet and dry heathland/ dry heather moorland,semi-natural,Bombus lucorum,Apidae,7.405677318572998,17.86549949645996,-0.7459999918937683,18.611499786376953,804,85,54,0,207
NJ7638,Scotland,-2.39308058597149,57.43620362265199,H38 - Bare ground/weeds of arable field margins or fallow/recently abandoned arable crops (e.g. set-aside),agricultural,Episyrphus balteatus,Syrphidae,7.898125171661377,18.13800048828125,-0.05674999952316284,18.19474983215332,748,75,50,0,121
NN5527,Scotland,-4.343987302656702,56.41752730466453,H23 - Wet and dry heathland/ dry heather moorland,semi-natural,Xylota segnis,Syrphidae,6.199531078338623,15.216500282287598,-0.7950000166893005,16.011499404907227,2121,273,105,0,414
NN6693,Scotland,-4.200166437686534,57.013252103091375,H12 - Acid bog/mire habitats,semi-natural,Sericomyia silentis,Syrphidae,5.1554789543151855,15.1274995803833,-2.2880001068115234,17.41550064086914,1928,243,100,0,621
NN7911,Scotland,-3.9478830312421875,56.28060466774053,H23 - Wet and dry heathland/ dry heather moorland,semi-natural,Bombus lucorum,Apidae,7.541500091552734,17.47825050354004,-0.12400000542402267,17.602251052856445,1338,167,67,0,210
NN8369,Scotland,-3.909362755502153,56.80237962935105,H23 - Wet and dry heathland/ dry heather moorland,semi-natural,Sericomyia silentis,Apidae,6.517635345458984,16.931249618530273,-1.493499994277954,18.42474937438965,1336,172,68,0,364
NN8497,Scotland,-3.9057773527444075,57.054022372414295,H27 - Mature coniferous woodland,semi-natural,Xylota segnis,Syrphidae,6.189541816711426,16.685749053955078,-1.8702499866485596,18.555999755859375,1292,161,70,0,423
NN8664,Scotland,-3.858044987045609,56.75822783342829,H20 - Bracken dominated glades or hillsides,semi-natural,Bombus lucorum,Apidae,6.517635345458984,16.931249618530273,-1.493499994277954,18.42474937438965,1336,172,68,0,364
NO4923,Scotland,-2.8197943754989305,56.40102909943893,H17 - Dry semi/unimproved (flower-rich) neutral grassland,semi-natural,Bombus lucorum,Apidae,8.361178398132324,18.84024429321289,0.13780488073825836,18.70244026184082,647,67,42,0,13
NO7495,Scotland,-2.4219557575924457,57.049843913942894,H18 - Agriculturally improved/re-seeded/ heavily fertilised grassland,agricultural,Neoascia podagrica,Syrphidae,7.6363749504089355,18.337749481201172,-0.7714999914169312,19.109249114990234,786,83,51,1,128
NS2366,Scotland,-4.821638629863769,55.85927516921104,H16 - Dry semi/unimproved acid grassland,semi-natural,Platycheirus albimanus,Syrphidae,8.045173645019531,17.080062866210938,1.0572785139083862,16.022785186767578,1657,198,86,1,208
NS4085,Scotland,-4.561580734569059,56.035739156564574,H18 - Agriculturally improved/re-seeded/ heavily fertilised grassland,agricultural,Neoascia podagrica,Syrphidae,8.20994758605957,17.11025047302246,1.1894999742507935,15.920750617980957,1560,190,79,1,120
NS5873,Scotland,-4.266634844755599,55.93366640833841,H18 - Agriculturally improved/re-seeded/ heavily fertilised grassland,agricultural,Helophilus pendulus,Syrphidae,8.365239143371582,18.207250595092773,0.8357499837875366,17.37150001525879,1300,154,65,1,83
NS9052,Scotland,-3.7462280643165338,55.75343356006475,H19 - Seasonally wet and wet marshy grasslands,semi-natural,Platycheirus granditarsus,Syrphidae,7.805718898773193,17.730249404907227,0.45350000262260437,17.276748657226562,1382,161,71,1,240
NT2023,Scotland,-3.26001155496251,55.49879086125578,H18 - Agriculturally improved/re-seeded/ heavily fertilised grassland,semi-natural,Melanostoma mellinum,Syrphidae,6.248635292053223,16.840499877929688,-1.4494999647140503,18.28999900817871,1672,189,93,1,450
NT4470,Scotland,-2.889714562134493,55.924355071188565,H35 - Intensive arable crops,agricultural,Eupeodes corollae,Syrphidae,8.066258430480957,18.375350952148438,0.18151260912418365,18.193838119506836,752,76,46,1,119
NT5824,Scotland,-2.6587056661805444,55.51248724155745,H35 - Intensive arable crops,agricultural,Eupeodes corollae,Syrphidae,8.025094032287598,18.736249923706055,0.11150000244379044,18.6247501373291,821,85,50,1,129
NX8392,Scotland,-3.832508670095649,55.212957668233166,H17 - Dry semi/unimproved (flower-rich) neutral grassland,semi-natural,Xylota segnis,Apidae,7.987729072570801,17.885000228881836,0.6039999723434448,17.2810001373291,1383,158,71,1,198
SE1582,England,-1.7636918896630234,54.23797969335347,H23 - Wet and dry heathland/ dry heather moorland,semi-natural,Apis mellifera,Apidae,8.367781639099121,19.04775047302246,0.577750027179718,18.470001220703125,997,104,66,1,203
SE1845,England,-1.7199071333044134,53.905349303896315,H17 - Dry semi/unimproved (flower-rich) neutral grassland,agricultural,Bombus pascuorum,Apidae,8.501479148864746,19.020999908447266,0.6022499799728394,18.418750762939453,978,106,62,1,186
SE1867,England,-1.7185793756780976,54.10307395153395,H23 - Wet and dry heathland/ dry heather moorland,semi-natural,Lasioglossum fratellum,Apidae,8.096854209899902,18.682750701904297,0.2995000183582306,18.383251190185547,1146,122,73,1,256
SE9023,England,-0.6306834942472022,53.700123243551026,H38 - Bare ground/weeds of arable field margins or fallow/recently abandoned arable crops (e.g. set-aside),agricultural,Episyrphus balteatus,Syrphidae,9.258284568786621,20.282005310058594,0.918289065361023,19.36371612548828,636,65,41,3,55
SH4072,Wales,-4.390739676755011,53.22554798375631,H16 - Dry semi/unimproved acid grassland,agricultural,Eristalis arbustorum,Syrphidae,10.077094078063965,19.021203994750977,2.738743543624878,16.282461166381836,916,112,49,3,43
