sciname,study_id,fct_code_orig,validation_2023,nut_per_species_per_study,country_origin_study,country_origin_sample.vNM,country_origin_sample.detail,sample_year,sample_month,Processing,Processing.detail,other_ingredients.vNM,other_ingredients.vNM.detail,Preparation,Preparation.detail,Wild.Farmed,relative_weight,Parts,Parts.detail,per_edible_prop,class,order,family,genus,sciname_orig,common_name,food_name,food_name_orig,fao_taxocode,fao_3a_code,sau_species_code,isscaap_code,phylum,kingdom,common_name_detailed,food_prep,food_prep_detailed,food_part,food_part_detailed,prod_catg,other_ingredients,study_type,country_origin_sample,country,species_edible_prop,notes,nutrient_type,nutrient,nutrient_orig,nutrient_desc,nutrient_code_fao,value,value_tr,nutrient_units,portion_size,SpecCode,genus_usedby_SHY,family_usedby_SHY,order_usedby_SHY,class_usedby_SHY,best_DemersPelag,best_DemersPelag_level,best_EnvTemp,best_EnvTemp_level,best_DepthRangeDeep,best_DepthRangeDeep_level,best_Lmax,best_Lmax_level,best_Lm,best_Lm_level,best_K,best_K_level,best_tm,best_tm_level,best_Troph,best_Troph_level,best_Pelagic,best_Pelagic_level,best_Benthic,best_Benthic_level,best_Sessile,best_Sessile_level,best_Mobile,best_Mobile_level,best_SoftBottom,best_SoftBottom_level,best_Sand,best_Sand_level,best_Coarse,best_Coarse_level,best_Fine,best_Fine_level,best_Level,best_Level_level,best_Sloping,best_Sloping_level,best_Silt,best_Silt_level,best_Mud,best_Mud_level,best_Ooze,best_Ooze_level,best_Detritus,best_Detritus_level,best_Organic,best_Organic_level,best_HardBottom,best_HardBottom_level,best_Rocky,best_Rocky_level,best_Rubble,best_Rubble_level,best_Gravel,best_Gravel_level,best_Macrophyte,best_Macrophyte_level,best_BedsBivalve,best_BedsBivalve_level,best_BedsRock,best_BedsRock_level,best_SeaGrassBeds,best_SeaGrassBeds_level,best_BedsOthers,best_BedsOthers_level,best_CoralReefs,best_CoralReefs_level,best_ReefExclusive,best_ReefExclusive_level,best_DropOffs,best_DropOffs_level,best_ReefFlats,best_ReefFlats_level,best_Lagoons,best_Lagoons_level,best_Burrows,best_Burrows_level,best_Tunnels,best_Tunnels_level,best_Crevices,best_Crevices_level,best_Vents,best_Vents_level,best_Seamounts,best_Seamounts_level,best_DeepWaterCorals,best_DeepWaterCorals_level,best_Vegetation,best_Vegetation_level,best_Marine,best_Marine_level,best_Neritic,best_Neritic_level,best_Oceanic,best_Oceanic_level,best_BrackishWater,best_BrackishWater_level,best_FreshWater,best_FreshWater_level,best_Parasitism,best_Parasitism_level,best_Solitary,best_Solitary_level,best_Symbiosis,best_Symbiosis_level,best_Symphorism,best_Symphorism_level,best_Commensalism,best_Commensalism_level,best_Mutualism,best_Mutualism_level,best_Epiphytic,best_Epiphytic_level
Acanthephyra armata,416,NA,Y,2,IND,IND,"Lat. 17.103-19.983N, Long. 83.042-87.428E",,,,unknown,,,frozen,frozen,wild capture,,muscle tissue,f,NA,malacostraca,decapoda,oplophoridae,acanthephyra,Acanthephyra armata,NA,NA,NA,NA,NA,25543,NA,arthropoda,animalia,NA,NA,NA,muscle tissue,NA,wild capture,NA,Peer-reviewed literature,IND,India,NA,NA,Mineral,"Iron, total",Iron_total,Total iron is sum of heme and non-heme iron,FE,1.963,,mg,per 100g,25543,Acanthephyra,Oplophoridae,Decapoda,Malacostraca,pelagic,species,tropical,species,2880,species,20,species,13.6,species,NA,NA,NA,NA,NA,NA,1,species,1,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,1,species,0,species,1,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species
Acanthephyra armata,416,NA,Y,2,IND,IND,"Lat. 17.103-19.983N, Long. 83.042-87.428E",,,,unknown,,,frozen,frozen,wild capture,,muscle tissue,f,NA,malacostraca,decapoda,oplophoridae,acanthephyra,Acanthephyra armata,NA,NA,NA,NA,NA,25543,NA,arthropoda,animalia,NA,NA,NA,muscle tissue,NA,wild capture,NA,Peer-reviewed literature,IND,India,NA,NA,Mineral,Copper,Copper,Copper,CU,3.392,,mg,per 100g,25543,Acanthephyra,Oplophoridae,Decapoda,Malacostraca,pelagic,species,tropical,species,2880,species,20,species,13.6,species,NA,NA,NA,NA,NA,NA,1,species,1,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,1,species,0,species,1,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species
Acanthephyra armata,416,NA,Y,2,IND,IND,"Lat. 17.103-19.983N, Long. 83.042-87.428E",,,,unknown,,,frozen,frozen,wild capture,,muscle tissue,f,NA,malacostraca,decapoda,oplophoridae,acanthephyra,Acanthephyra armata,NA,NA,NA,NA,NA,25543,NA,arthropoda,animalia,NA,NA,NA,muscle tissue,NA,wild capture,NA,Peer-reviewed literature,IND,India,NA,NA,Mineral,Zinc,Zinc,Zinc,ZN,2.264,,mg,per 100g,25543,Acanthephyra,Oplophoridae,Decapoda,Malacostraca,pelagic,species,tropical,species,2880,species,20,species,13.6,species,NA,NA,NA,NA,NA,NA,1,species,1,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,1,species,0,species,1,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species
Acanthephyra armata,416,NA,Y,2,IND,IND,"Lat. 17.103-19.983N, Long. 83.042-87.428E",,,,unknown,,,frozen,frozen,wild capture,,muscle tissue,f,NA,malacostraca,decapoda,oplophoridae,acanthephyra,Acanthephyra armata,NA,NA,NA,NA,NA,25543,NA,arthropoda,animalia,NA,NA,NA,muscle tissue,NA,wild capture,NA,Peer-reviewed literature,IND,India,NA,NA,Mineral,Zinc,Zinc,Zinc,ZN,0.815,,mg,per 100g,25543,Acanthephyra,Oplophoridae,Decapoda,Malacostraca,pelagic,species,tropical,species,2880,species,20,species,13.6,species,NA,NA,NA,NA,NA,NA,1,species,1,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,1,species,0,species,1,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species
Acanthephyra armata,416,NA,Y,2,IND,IND,"Lat. 17.103-19.983N, Long. 83.042-87.428E",,,,unknown,,,frozen,frozen,wild capture,,muscle tissue,f,NA,malacostraca,decapoda,oplophoridae,acanthephyra,Acanthephyra armata,NA,NA,NA,NA,NA,25543,NA,arthropoda,animalia,NA,NA,NA,muscle tissue,NA,wild capture,NA,Peer-reviewed literature,IND,India,NA,NA,Mineral,"Iron, total",Iron_total,Total iron is sum of heme and non-heme iron,FE,3.954,,mg,per 100g,25543,Acanthephyra,Oplophoridae,Decapoda,Malacostraca,pelagic,species,tropical,species,2880,species,20,species,13.6,species,NA,NA,NA,NA,NA,NA,1,species,1,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,1,species,0,species,1,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species
Acanthephyra armata,416,NA,Y,2,IND,IND,"Lat. 17.103-19.983N, Long. 83.042-87.428E",,,,unknown,,,frozen,frozen,wild capture,,muscle tissue,f,NA,malacostraca,decapoda,oplophoridae,acanthephyra,Acanthephyra armata,NA,NA,NA,NA,NA,25543,NA,arthropoda,animalia,NA,NA,NA,muscle tissue,NA,wild capture,NA,Peer-reviewed literature,IND,India,NA,NA,Mineral,Copper,Copper,Copper,CU,2.28,,mg,per 100g,25543,Acanthephyra,Oplophoridae,Decapoda,Malacostraca,pelagic,species,tropical,species,2880,species,20,species,13.6,species,NA,NA,NA,NA,NA,NA,1,species,1,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,1,species,0,species,1,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species
Acetes japonicus,Korea_8thRev_2011,M056001000a,Yd,5,KOR,KOR,,2009,,fermented,salted and fermented,Y,salt,,,,,whole,edible,Y,malacostraca,decapoda,sergestidae,acetes,Acetes japonicus,opossum shrimp,Opossum shrimp,___ __(__); ___,2280700903,AKS,25421,45,arthropoda,animalia,opossum shrimp,NA,NA,muscle tissue,NA,NA,NA,Food Composition Table (FCT),KOR,South Korea,1,NA,Mineral,Potassium,Potassium,Potassium,K,210,,mg,per 100g,25421,Acetes,Sergestidae,Decapoda,Malacostraca,pelagic,species,tropical,species,100,species,2.4,species,1.75,species,1.5,species,0.666305199,species,3.2,family,1,species,0,species,0,species,0,species,1,species,0,species,0,species,0,species,0,species,0,species,0,species,1,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,1,species,0,species,1,species,1,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species
Acetes japonicus,Korea_8thRev_2011,M055000000b,Yd,5,KOR,KOR,,2009,,raw,raw,,,,,,,whole,edible,Y,malacostraca,decapoda,sergestidae,acetes,Acetes japonicus,opossum shrimp,Opossum shrimp,___; __,2280700903,AKS,25421,45,arthropoda,animalia,opossum shrimp,NA,NA,muscle tissue,NA,NA,NA,Food Composition Table (FCT),KOR,South Korea,1,NA,Vitamin,Riboflavin,Riboflavin,Riboflavin,RIBF,0.12,,mg,per 100g,25421,Acetes,Sergestidae,Decapoda,Malacostraca,pelagic,species,tropical,species,100,species,2.4,species,1.75,species,1.5,species,0.666305199,species,3.2,family,1,species,0,species,0,species,0,species,1,species,0,species,0,species,0,species,0,species,0,species,0,species,1,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,1,species,0,species,1,species,1,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species
Acetes japonicus,Korea_8thRev_2011,M055000000c,Yd,5,KOR,,,,,dried,dried,,,,,,,whole,edible,Y,malacostraca,decapoda,sergestidae,acetes,Acetes japonicus,opossum shrimp,Opossum shrimp,___; ___,2280700903,AKS,25421,45,arthropoda,animalia,opossum shrimp,dried,NA,muscle tissue,NA,NA,NA,Food Composition Table (FCT),KOR,South Korea,1,NA,Mineral,"Iron, total",Iron_total,Total iron is sum of heme and non-heme iron,FE,14,,mg,per 100g,25421,Acetes,Sergestidae,Decapoda,Malacostraca,pelagic,species,tropical,species,100,species,2.4,species,1.75,species,1.5,species,0.666305199,species,3.2,family,1,species,0,species,0,species,0,species,1,species,0,species,0,species,0,species,0,species,0,species,0,species,1,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,1,species,0,species,1,species,1,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species
Acetes japonicus,Korea_8thRev_2011,M056001000a,Yd,5,KOR,KOR,,2009,,fermented,salted and fermented,Y,salt,,,,,whole,edible,Y,malacostraca,decapoda,sergestidae,acetes,Acetes japonicus,opossum shrimp,Opossum shrimp,___ __(__); ___,2280700903,AKS,25421,45,arthropoda,animalia,opossum shrimp,NA,NA,muscle tissue,NA,NA,NA,Food Composition Table (FCT),KOR,South Korea,1,NA,Mineral,"Iron, total",Iron_total,Total iron is sum of heme and non-heme iron,FE,6.2,,mg,per 100g,25421,Acetes,Sergestidae,Decapoda,Malacostraca,pelagic,species,tropical,species,100,species,2.4,species,1.75,species,1.5,species,0.666305199,species,3.2,family,1,species,0,species,0,species,0,species,1,species,0,species,0,species,0,species,0,species,0,species,0,species,1,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,1,species,0,species,1,species,1,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species
Acetes japonicus,Korea_8thRev_2011,M055000000c,Yd,5,KOR,,,,,dried,dried,,,,,,,whole,edible,Y,malacostraca,decapoda,sergestidae,acetes,Acetes japonicus,opossum shrimp,Opossum shrimp,___; ___,2280700903,AKS,25421,45,arthropoda,animalia,opossum shrimp,dried,NA,muscle tissue,NA,NA,NA,Food Composition Table (FCT),KOR,South Korea,1,NA,Vitamin,Riboflavin,Riboflavin,Riboflavin,RIBF,0.15,,mg,per 100g,25421,Acetes,Sergestidae,Decapoda,Malacostraca,pelagic,species,tropical,species,100,species,2.4,species,1.75,species,1.5,species,0.666305199,species,3.2,family,1,species,0,species,0,species,0,species,1,species,0,species,0,species,0,species,0,species,0,species,0,species,1,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,1,species,0,species,1,species,1,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species
Acetes japonicus,Korea_8thRev_2011,M055000000b,Yd,5,KOR,KOR,,2009,,raw,raw,,,,,,,whole,edible,Y,malacostraca,decapoda,sergestidae,acetes,Acetes japonicus,opossum shrimp,Opossum shrimp,___; __,2280700903,AKS,25421,45,arthropoda,animalia,opossum shrimp,NA,NA,muscle tissue,NA,NA,NA,Food Composition Table (FCT),KOR,South Korea,1,NA,Mineral,"Iron, total",Iron_total,Total iron is sum of heme and non-heme iron,FE,0.7,,mg,per 100g,25421,Acetes,Sergestidae,Decapoda,Malacostraca,pelagic,species,tropical,species,100,species,2.4,species,1.75,species,1.5,species,0.666305199,species,3.2,family,1,species,0,species,0,species,0,species,1,species,0,species,0,species,0,species,0,species,0,species,0,species,1,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,1,species,0,species,1,species,1,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species
Acetes japonicus,Korea_8thRev_2011,M056002000a,Yd,5,KOR,JPN,,2015,,boiled or steamed,simmered,Y,"soy sauce, sugar",,,,,whole,edible,Y,malacostraca,decapoda,sergestidae,acetes,Acetes japonicus,opossum shrimp,Opossum shrimp,___ __(__); __,2280700903,AKS,25421,45,arthropoda,animalia,opossum shrimp,NA,NA,muscle tissue,NA,NA,NA,Food Composition Table (FCT),KOR,South Korea,1,NA,Mineral,Potassium,Potassium,Potassium,K,350,,mg,per 100g,25421,Acetes,Sergestidae,Decapoda,Malacostraca,pelagic,species,tropical,species,100,species,2.4,species,1.75,species,1.5,species,0.666305199,species,3.2,family,1,species,0,species,0,species,0,species,1,species,0,species,0,species,0,species,0,species,0,species,0,species,1,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,1,species,0,species,1,species,1,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species
Acetes japonicus,Korea_8thRev_2011,M056002000a,Yd,5,KOR,JPN,,2015,,boiled or steamed,simmered,Y,"soy sauce, sugar",,,,,whole,edible,Y,malacostraca,decapoda,sergestidae,acetes,Acetes japonicus,opossum shrimp,Opossum shrimp,___ __(__); __,2280700903,AKS,25421,45,arthropoda,animalia,opossum shrimp,NA,NA,muscle tissue,NA,NA,NA,Food Composition Table (FCT),KOR,South Korea,1,NA,Vitamin,Thiamin,Thiamin,"Thiamin, synonym vitamin b1, aneurin",THIA,0.14,,mg,per 100g,25421,Acetes,Sergestidae,Decapoda,Malacostraca,pelagic,species,tropical,species,100,species,2.4,species,1.75,species,1.5,species,0.666305199,species,3.2,family,1,species,0,species,0,species,0,species,1,species,0,species,0,species,0,species,0,species,0,species,0,species,1,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,1,species,0,species,1,species,1,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species
Acetes japonicus,Korea_8thRev_2011,M055000000c,Yd,5,KOR,,,,,dried,dried,,,,,,,whole,edible,Y,malacostraca,decapoda,sergestidae,acetes,Acetes japonicus,opossum shrimp,Opossum shrimp,___; ___,2280700903,AKS,25421,45,arthropoda,animalia,opossum shrimp,dried,NA,muscle tissue,NA,NA,NA,Food Composition Table (FCT),KOR,South Korea,1,NA,Vitamin,Thiamin,Thiamin,"Thiamin, synonym vitamin b1, aneurin",THIA,0.1,,mg,per 100g,25421,Acetes,Sergestidae,Decapoda,Malacostraca,pelagic,species,tropical,species,100,species,2.4,species,1.75,species,1.5,species,0.666305199,species,3.2,family,1,species,0,species,0,species,0,species,1,species,0,species,0,species,0,species,0,species,0,species,0,species,1,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,1,species,0,species,1,species,1,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species
Acetes japonicus,Korea_8thRev_2011,M056002000a,Yd,5,KOR,JPN,,2015,,boiled or steamed,simmered,Y,"soy sauce, sugar",,,,,whole,edible,Y,malacostraca,decapoda,sergestidae,acetes,Acetes japonicus,opossum shrimp,Opossum shrimp,___ __(__); __,2280700903,AKS,25421,45,arthropoda,animalia,opossum shrimp,NA,NA,muscle tissue,NA,NA,NA,Food Composition Table (FCT),KOR,South Korea,1,NA,Mineral,Sodium,Sodium,Sodium,NA,1900,,mg,per 100g,25421,Acetes,Sergestidae,Decapoda,Malacostraca,pelagic,species,tropical,species,100,species,2.4,species,1.75,species,1.5,species,0.666305199,species,3.2,family,1,species,0,species,0,species,0,species,1,species,0,species,0,species,0,species,0,species,0,species,0,species,1,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,1,species,0,species,1,species,1,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species
Acetes japonicus,Korea_8thRev_2011,M056002000a,Yd,5,KOR,JPN,,2015,,boiled or steamed,simmered,Y,"soy sauce, sugar",,,,,whole,edible,Y,malacostraca,decapoda,sergestidae,acetes,Acetes japonicus,opossum shrimp,Opossum shrimp,___ __(__); __,2280700903,AKS,25421,45,arthropoda,animalia,opossum shrimp,NA,NA,muscle tissue,NA,NA,NA,Food Composition Table (FCT),KOR,South Korea,1,NA,Mineral,Phosphorus,Phosphorus,Phosphorus,P,440,,mg,per 100g,25421,Acetes,Sergestidae,Decapoda,Malacostraca,pelagic,species,tropical,species,100,species,2.4,species,1.75,species,1.5,species,0.666305199,species,3.2,family,1,species,0,species,0,species,0,species,1,species,0,species,0,species,0,species,0,species,0,species,0,species,1,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,1,species,0,species,1,species,1,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species
Acetes japonicus,Korea_8thRev_2011,M055000000b,Yd,5,KOR,KOR,,2009,,raw,raw,,,,,,,whole,edible,Y,malacostraca,decapoda,sergestidae,acetes,Acetes japonicus,opossum shrimp,Opossum shrimp,___; __,2280700903,AKS,25421,45,arthropoda,animalia,opossum shrimp,NA,NA,muscle tissue,NA,NA,NA,Food Composition Table (FCT),KOR,South Korea,1,NA,Mineral,Calcium,Calcium,Calcium,CA,695,,mg,per 100g,25421,Acetes,Sergestidae,Decapoda,Malacostraca,pelagic,species,tropical,species,100,species,2.4,species,1.75,species,1.5,species,0.666305199,species,3.2,family,1,species,0,species,0,species,0,species,1,species,0,species,0,species,0,species,0,species,0,species,0,species,1,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,1,species,0,species,1,species,1,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species,0,species
