SpeciesName,Genus,Family,Order,Class,Phylum,spec_code,Lmax,TL (trophic level),DepthRangeDeep,K,tm (age of maturity),tmax (maximum age),Lm (length of maturity),EnvTemp,DemersPelag,environment,Marine,Brackish,Freshwater,Macroinvert?,Edible?,FisheriesImportance
Acanthogyrus acanthuri,Acanthogyrus,Quadrigyridae,Gyracanthocephala,Eoacanthocephala,Acanthocephala,59091,1.8,,,,,,,tropical,host,marine,TRUE,FALSE,FALSE,No,No,
Microsentis wardae,Microsentis,Neoechinorhynchidae,Neoechinorhynchida,Eoacanthocephala,Acanthocephala,59274,0.5,,,,,,,subtropical,host,marine,TRUE,FALSE,FALSE,No,No,
Neoechinorhynchus agilis,Neoechinorhynchus,Neoechinorhynchidae,Neoechinorhynchida,Eoacanthocephala,Acanthocephala,59275,,,,,,,,subtropical,host,marine,TRUE,FALSE,FALSE,No,No,
Neoechinorhynchus aldrichettae,Neoechinorhynchus,Neoechinorhynchidae,Neoechinorhynchida,Eoacanthocephala,Acanthocephala,59156,,,,,,,,subtropical,host,marine,TRUE,FALSE,FALSE,No,No,
Neoechinorhynchus argentatus,Neoechinorhynchus,Neoechinorhynchidae,Neoechinorhynchida,Eoacanthocephala,Acanthocephala,89273,,,,,,,,tropical,others,marine,TRUE,FALSE,FALSE,No,No,
Neoechinorhynchus coiliae,Neoechinorhynchus,Neoechinorhynchidae,Neoechinorhynchida,Eoacanthocephala,Acanthocephala,59166,,,,,,,,temperate,host,marine,TRUE,FALSE,FALSE,No,No,
Neoechinorhynchus dimorphospinus,Neoechinorhynchus,Neoechinorhynchidae,Neoechinorhynchida,Eoacanthocephala,Acanthocephala,89260,,,,,,,,subtropical,host,marine,TRUE,FALSE,FALSE,No,No,
Neoechinorhynchus dorsovaginatus,Neoechinorhynchus,Neoechinorhynchidae,Neoechinorhynchida,Eoacanthocephala,Acanthocephala,89660,2.625,,,,,,,subtropical,others,"marine, brackish",TRUE,TRUE,FALSE,No,No,
Neoechinorhynchus elongatus,Neoechinorhynchus,Neoechinorhynchidae,Neoechinorhynchida,Eoacanthocephala,Acanthocephala,89274,,,,,,,,tropical,host,marine,TRUE,FALSE,FALSE,No,No,
Neoechinorhynchus golvani,Neoechinorhynchus,Neoechinorhynchidae,Neoechinorhynchida,Eoacanthocephala,Acanthocephala,59178,,,,,,,,tropical,host,marine,TRUE,FALSE,FALSE,No,No,
Neoechinorhynchus indicus,Neoechinorhynchus,Neoechinorhynchidae,Neoechinorhynchida,Eoacanthocephala,Acanthocephala,154048,,,,,,,,tropical,host,brackish,FALSE,TRUE,FALSE,No,No,
Neoechinorhynchus johnii,Neoechinorhynchus,Neoechinorhynchidae,Neoechinorhynchida,Eoacanthocephala,Acanthocephala,59181,6.3,,,,,,,subtropical,host,marine,TRUE,FALSE,FALSE,No,No,
Neoechinorhynchus karachiensis,Neoechinorhynchus,Neoechinorhynchidae,Neoechinorhynchida,Eoacanthocephala,Acanthocephala,59182,,,,,,,,subtropical,host,marine,TRUE,FALSE,FALSE,No,No,
Neoechinorhynchus nigeriensis,Neoechinorhynchus,Neoechinorhynchidae,Neoechinorhynchida,Eoacanthocephala,Acanthocephala,59191,,,,,,,,tropical,host,marine,TRUE,FALSE,FALSE,No,No,
Neoechinorhynchus ningalooensis,Neoechinorhynchus,Neoechinorhynchidae,Neoechinorhynchida,Eoacanthocephala,Acanthocephala,89257,,,,,,,,subtropical,host,marine,TRUE,FALSE,FALSE,No,No,
Neoechinorhynchus ponticus,Neoechinorhynchus,Neoechinorhynchidae,Neoechinorhynchida,Eoacanthocephala,Acanthocephala,2385005,,,,,,,,temperate,host,brackish,FALSE,TRUE,FALSE,No,No,
Neoechinorhynchus qatarensis,Neoechinorhynchus,Neoechinorhynchidae,Neoechinorhynchida,Eoacanthocephala,Acanthocephala,89255,,,,,,,,subtropical,host,marine,TRUE,FALSE,FALSE,No,No,
Neoechinorhynchus rostratum,Neoechinorhynchus,Neoechinorhynchidae,Neoechinorhynchida,Eoacanthocephala,Acanthocephala,89661,,,,,,,,subtropical,host,brackish,FALSE,TRUE,FALSE,No,No,
Neoechinorhynchus rutili,Neoechinorhynchus,Neoechinorhynchidae,Neoechinorhynchida,Eoacanthocephala,Acanthocephala,59280,,,,,,,,temperate,host,marine,TRUE,FALSE,FALSE,No,No,
Neoechinorhynchus topseyi,Neoechinorhynchus,Neoechinorhynchidae,Neoechinorhynchida,Eoacanthocephala,Acanthocephala,59252,6,,,,,,,tropical,host,marine,TRUE,FALSE,FALSE,No,No,
Neoechinorhynchus tylosuri,Neoechinorhynchus,Neoechinorhynchidae,Neoechinorhynchida,Eoacanthocephala,Acanthocephala,59254,7,,,,,,,tropical,host,"marine, brackish",TRUE,TRUE,FALSE,No,No,
Octospiniferoides chandleri,Octospiniferoides,Neoechinorhynchidae,Neoechinorhynchida,Eoacanthocephala,Acanthocephala,59263,,,,,,,,tropical,host,"marine, freshwater",TRUE,FALSE,TRUE,No,No,
Acanthocephaloides cyrusi,Acanthocephaloides,Arhythmacanthidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,89521,0.365,,,,,,,subtropical,host,marine,TRUE,FALSE,FALSE,No,No,
Acanthocephaloides geniticus,Acanthocephaloides,Arhythmacanthidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,89529,,,,,,,,subtropical,host,marine,TRUE,FALSE,FALSE,No,No,
Acanthocephaloides propinguus,Acanthocephaloides,Arhythmacanthidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,58638,,,,,,,,subtropical,host,marine,TRUE,FALSE,FALSE,No,No,
Calakmulrhynchus amini,Calakmulrhynchus,Arhythmacanthidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,2385375,,,,,,,,tropical,host,"brackish, freshwater",FALSE,TRUE,TRUE,No,No,
Heterosentis heteracanthus,Heterosentis,Arhythmacanthidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,58631,,,,,,,,polar,host,marine,TRUE,FALSE,FALSE,No,No,
Heterosentis overstreeti,Heterosentis,Arhythmacanthidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,58633,0.115,,,,,,,subtropical,host,marine,TRUE,FALSE,FALSE,No,No,
Paracanthocephaloides kostylewi,Paracanthocephaloides,Arhythmacanthidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,89541,,,,,,,,subtropical,host,marine,TRUE,FALSE,FALSE,No,No,
Spiracanthus bovichthys,Spiracanthus,Arhythmacanthidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,89649,0.00215,,,,,,,temperate,host,marine,TRUE,FALSE,FALSE,No,No,
Filisoma fidum,Filisoma,Cavisomidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,58655,,,,,,,,tropical,host,marine,TRUE,FALSE,FALSE,No,No,
Filisoma longcementglandatus,Filisoma,Cavisomidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,89267,11.392,,,,,,,tropical,host,marine,TRUE,FALSE,FALSE,No,No,
Neorhadinorhynchus nudum,Neorhadinorhynchus,Cavisomidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,89270,0.446,,,,,,,tropical,host,marine,TRUE,FALSE,FALSE,No,No,
Amapacanthus amazonicus,Amapacanthus,Diplosentidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,89542,,,,,,,,tropical,host,marine,TRUE,FALSE,FALSE,No,No,
Diplosentis amphacanthi,Diplosentis,Diplosentidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,58668,,,,,,,,tropical,host,marine,TRUE,FALSE,FALSE,No,No,
Diplosentis aspinosus,Diplosentis,Diplosentidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,89651,,,,,,,,temperate,host,marine,TRUE,FALSE,FALSE,No,No,
Diplosentis ikedai,Diplosentis,Diplosentidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,89543,,,,,,,,subtropical,host,marine,TRUE,FALSE,FALSE,No,No,
Diplosentis macrospinosus,Diplosentis,Diplosentidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,89269,0.577,,,,,,,tropical,host,marine,TRUE,FALSE,FALSE,No,No,
Diplosentis manteri,Diplosentis,Diplosentidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,58669,,,,,,,,tropical,host,marine,TRUE,FALSE,FALSE,No,No,
Diplosentis rubimaris,Diplosentis,Diplosentidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,58827,2.15,,,,,,,tropical,host,marine,TRUE,FALSE,FALSE,No,No,
Pararhadinorhynchus coorongensis,Pararhadinorhynchus,Diplosentidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,58670,,,,,,,,subtropical,host,marine,TRUE,FALSE,FALSE,No,No,
Pararhadinorhynchus mugilis,Pararhadinorhynchus,Diplosentidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,59283,,,,,,,,subtropical,host,marine,TRUE,FALSE,FALSE,No,No,
Pararhadinorhynchus upenei,Pararhadinorhynchus,Diplosentidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,89544,,,,,,,,subtropical,host,marine,TRUE,FALSE,FALSE,No,No,
Slendrorhynchus breviclaviproboscis,Slendrorhynchus,Diplosentidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,89263,,,,,,,,subtropical,host,marine,TRUE,FALSE,FALSE,No,No,
Acanthocephalus anguillae,Acanthocephalus,Echinorhynchidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,59284,,,,,,,,temperate,host,marine,TRUE,FALSE,FALSE,No,No,
Acanthocephalus lucii,Acanthocephalus,Echinorhynchidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,59286,,,,,,,,temperate,host,marine,TRUE,FALSE,FALSE,No,No,
Acanthocephalus rhinensis,Acanthocephalus,Echinorhynchidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,2381054,,,,,,,,temperate,host,marine,TRUE,FALSE,FALSE,No,No,
Echinorhynchus abyssicola,Echinorhynchus,Echinorhynchidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,58711,,,4785,,,,,deep-water,host,marine,TRUE,FALSE,FALSE,No,No,
Echinorhynchus bothniensis,Echinorhynchus,Echinorhynchidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,89137,,,,,,,,deep-water,host,marine,TRUE,FALSE,FALSE,No,No,
Echinorhynchus brayi,Echinorhynchus,Echinorhynchidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,89198,1.01,,2444,,,,,deep-water,host,marine,TRUE,FALSE,FALSE,No,No,
Echinorhynchus canyonensis,Echinorhynchus,Echinorhynchidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,59289,,,457,,,,,deep-water,host,marine,TRUE,FALSE,FALSE,No,No,
Echinorhynchus cestodicola,Echinorhynchus,Echinorhynchidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,58717,,,,,,,,polar,host,marine,TRUE,FALSE,FALSE,No,No,
Echinorhynchus gadi,Echinorhynchus,Echinorhynchidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,59290,,,1400,,,,,temperate,host,marine,TRUE,FALSE,FALSE,No,No,
Echinorhynchus longiproboscis,Echinorhynchus,Echinorhynchidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,89284,,,,,,,,deep-water,host,marine,TRUE,FALSE,FALSE,No,No,
Echinorhynchus malacocephali,Echinorhynchus,Echinorhynchidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,89285,,,,,,,,deep-water,host,marine,TRUE,FALSE,FALSE,No,No,
Echinorhynchus melanoglaeae,Echinorhynchus,Echinorhynchidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,58018,,,600,,,,,deep-water,host,marine,TRUE,FALSE,FALSE,No,No,
