Observed,Scaled_Observed,Chao1
163,619.4,195.4
173,657.4,199.32692307692307
168,638.4,202.225
163,619.4,183.8913043478261
173,657.4,219.225
160,608,196.21428571428572
167,634.6,205
166,630.8,193.8409090909091
168,638.4,218
163,619.4,195.5952380952381
166,630.8,186.8913043478261
157,596.6,193
172,653.6,198.32692307692307
177,672.6,226
163,619.4,193.11764705882354
167,634.6,188.78
171,649.8,206.02083333333334
177,672.6,215.20454545454544
138,524.4,172.6153846153846
170,646,200.625
169,642.1999999999999,189.02083333333334
174,661.1999999999999,218.23684210526315
157,596.6,182
168,638.4,210.02272727272728
179,680.1999999999999,215.98
172,653.6,223.88235294117646
163,619.4,217.32142857142856
169,642.1999999999999,198.76086956521738
163,619.4,187.025
181,687.8,231.94736842105263
164,623.1999999999999,233.13636363636363
172,653.6,220.4
175,665,211.0263157894737
175,665,209.7826086956522
173,657.4,243.61764705882354
170,646,184.0625
172,653.6,205.06521739130434
178,676.4,231.28947368421052
176,668.8,218.02272727272728
175,665,219.44444444444446
164,623.1999999999999,188.5
163,619.4,192.45454545454544
181,687.8,212.3913043478261
161,611.8,224
177,672.6,221.02380952380952
172,653.6,208.36363636363637
169,642.1999999999999,205.0263157894737
167,634.6,187.45454545454544
161,611.8,185.75
165,627,209.02380952380952
160,608,200
178,676.4,222.44444444444446
169,642.1999999999999,213
165,627,214.84615384615384
164,623.1999999999999,192.17391304347825
166,630.8,194.16666666666666
173,657.4,211
166,630.8,202.1
163,619.4,194.3913043478261
182,691.6,238.25
172,653.6,191.69230769230768
170,646,210.0909090909091
171,649.8,221.94736842105263
151,573.8,177.69444444444446
184,699.1999999999999,228.02380952380952
172,653.6,216.44444444444446
173,657.4,198.52083333333334
152,577.6,174.26086956521738
166,630.8,196.42000000000002
183,695.4,229.07999999999998
151,573.8,179.17391304347825
160,608,196.1
163,619.4,195.4
158,600.4,186.88
172,653.6,216
169,642.1999999999999,195.27272727272728
170,646,203.06521739130434
170,646,212.1875
173,657.4,207.7826086956522
158,600.4,182.5
175,665,207
168,638.4,218.20454545454544
166,630.8,206.19565217391306
178,676.4,242.38095238095238
177,672.6,221.02173913043478
174,661.1999999999999,204.41379310344828
163,619.4,205.25
171,649.8,203.5952380952381
172,653.6,230.1315789473684
165,627,183.96296296296296
167,634.6,203.1
161,611.8,191.25
157,596.6,204.53125
159,604.1999999999999,182.12
