Observed,Scaled_Observed,Chao1
218,331.36,238.9032258064516
216,328.32,250.57142857142856
221,335.92,249.57142857142856
216,328.32,266.625
213,323.76,235.6875
218,331.36,249.1296296296296
216,328.32,237.40740740740745
217,329.84000000000003,250.62
219,332.88,258.44642857142856
215,326.8,250.02083333333337
216,328.32,240.44642857142856
214,325.28000000000003,250.54347826086956
220,334.4,248.16666666666663
219,332.88,259.3333333333333
222,337.44,266
209,317.68,245.36363636363637
219,332.88,257.72
212,322.24,248.36363636363637
214,325.28000000000003,250.1
202,307.04,234.11111111111111
225,342,271
217,329.84000000000003,243.22413793103448
213,323.76,238.1304347826087
215,326.8,261.69444444444446
220,334.4,262.1875
215,326.8,261.225
217,329.84000000000003,257
219,332.88,250.6875
218,331.36,243.78571428571428
219,332.88,249.42
220,334.4,251.8793103448276
218,331.36,251.33333333333337
214,325.28000000000003,237.1428571428571
217,329.84000000000003,240.6034482758621
221,335.92,240.75806451612905
216,328.32,279.28125
222,337.44,255.9230769230769
216,328.32,249.06521739130432
207,314.64,265.8
215,326.8,253.20454545454544
225,342,257.6666666666667
223,338.96,267.18
209,317.68,247.72
217,329.84000000000003,250.0178571428571
216,328.32,274.77777777777777
214,325.28000000000003,244.08333333333337
220,334.4,285.7894736842105
215,326.8,275.025
213,323.76,237.92307692307693
217,329.84000000000003,270.2894736842105
219,332.88,254.55769230769232
214,325.28000000000003,239.35
215,326.8,249.5681818181818
225,342,262.5
215,326.8,245.42
214,325.28000000000003,249.02083333333337
220,334.4,240.6428571428571
218,331.36,248.76923076923077
220,334.4,262.4807692307692
207,314.64,231.3809523809524
216,328.32,251.55769230769232
225,342,258.9230769230769
213,323.76,251.0952380952381
217,329.84000000000003,271.85714285714283
212,322.24,239.38
218,331.36,262.0238095238095
212,322.24,236.92307692307693
214,325.28000000000003,249.02083333333337
216,328.32,246.76923076923077
220,334.4,244.44642857142856
218,331.36,256.20454545454544
216,328.32,246.42
213,323.76,231.77586206896552
213,323.76,238.92
222,337.44,249.58620689655172
217,329.84000000000003,246.25
218,331.36,249.6875
210,319.2,252.025
217,329.84000000000003,250.9230769230769
215,326.8,279.97058823529414
212,322.24,237.35185185185185
209,317.68,234.52083333333337
212,322.24,252.11111111111111
216,328.32,252.98
217,329.84000000000003,255.0952380952381
218,331.36,245.76923076923077
215,326.8,255.02380952380952
216,328.32,241.35185185185185
213,323.76,249.36363636363637
216,328.32,262.0952380952381
223,338.96,269
218,331.36,250.3269230769231
217,329.84000000000003,261.0833333333333
215,326.8,232.7962962962963
