x1km_square,flower_species,n_observed_flowers,flower_genus
NC0429,Acer pseudoplatanus,0,Acer
NC0429,Achillea millefolium,0,Achillea
NC0429,Achillea ptarmica,0,Achillea
NC0429,Aegopodium podagraria,0,Aegopodium
NC0429,Aethusa cynapium,0,Aethusa
NC0429,Ajuga reptans,0,Ajuga
NC0429,Alliaria petiolata,0,Alliaria
NC0429,Alnus glutinosa,0,Alnus
NC0429,Anagallis arvensis,0,Anagallis
NC0429,Anchusa arvensis,0,Anchusa
NC0429,Anemone nemorosa,0,Anemone
NC0429,Angelica sylvestris,0,Angelica
NC0429,Anthemis cotula,0,Anthemis
NC0429,Anthriscus caucalis,0,Anthriscus
NC0429,Anthriscus sylvestris,0,Anthriscus
NC0429,Apium nodiflorum,0,Apium
NC0429,Armeria maritima,0,Armeria
NC0429,Artemisia absinthium,0,Artemisia
NC0429,Artemisia annua,0,Artemisia
NC0429,Artemisia vulgaris,0,Artemisia
NC0429,Aster tripolium,0,Aster
NC0429,Atriplex patula,0,Atriplex
NC0429,Atriplex portulacoides,0,Atriplex
NC0429,Ballota nigra,0,Ballota
NC0429,Barbarea vulgaris,0,Barbarea
NC0429,Bellis perennis,0,Bellis
NC0429,Berula erecta,0,Berula
NC0429,Brassica napus,0,Brassica
NC0429,Brassica oleracea,0,Brassica
NC0429,Brassica rapa,0,Brassica
NC0429,Bryonia dioica,0,Bryonia
NC0429,Buddleja davidii,0,Buddleja
NC0429,Bupleurum tenuissimum,0,Bupleurum
NC0429,Calluna vulgaris,1638,Calluna
NC0429,Caltha palustris,0,Caltha
NC0429,Calystegia sepium,0,Calystegia
NC0429,Campanula rotundifolia,0,Campanula
NC0429,Capsella bursa,0,Capsella
NC0429,Cardamine flexuosa,0,Cardamine
NC0429,Cardamine hirsuta,0,Cardamine
NC0429,Cardamine pratensis,0,Cardamine
NC0429,Carduus nutans,0,Carduus
NC0429,Carum verticillatum,0,Carum
NC0429,Centaurea cyanus,0,Centaurea
NC0429,Centaurea nigra,0,Centaurea
NC0429,Centaurea scabiosa,0,Centaurea
NC0429,Centaurium erythraea,0,Centaurium
NC0429,Cerastium arvense,0,Cerastium
NC0429,Cerastium fontanum,0,Cerastium
NC0429,Cerastium glomeratum,0,Cerastium
NC0429,Ceratocapnos claviculata,0,Ceratocapnos
NC0429,Chaerophyllum temulum,0,Chaerophyllum
NC0429,Chamaemelum nobile,0,Chamaemelum
NC0429,Chamerion angustifolium,0,Chamerion
NC0429,Chenopodium album,0,Chenopodium
NC0429,Chenopodium ficifolium,0,Chenopodium
NC0429,Chenopodium quinoa,0,Chenopodium
NC0429,Cichorium intybus,0,Cichorium
NC0429,Circaea lutetiana,0,Circaea
NC0429,Cirsium arvense,0,Cirsium
NC0429,Cirsium eriophorum,0,Cirsium
NC0429,Cirsium palustre,0,Cirsium
NC0429,Cirsium vulgare,0,Cirsium
NC0429,Clematis vitalba,0,Clematis
NC0429,Clinopodium vulgare,0,Clinopodium
NC0429,Conium maculatum,0,Conium
NC0429,Conopodium majus,0,Conopodium
NC0429,Convolvulus arvensis,0,Convolvulus
NC0429,Conyza canadensis,0,Conyza
NC0429,Cotoneaster salicifolius,0,Cotoneaster
NC0429,Crataegus monogyna,0,Crataegus
NC0429,Crepis capillaris,0,Crepis
NC0429,Crepis vesicaria,0,Crepis
NC0429,Cruciata laevipes,0,Cruciata
