flower_species,english_name,order,family,genus
Rosa canina,Dog-rose,Rosales,Rosaceae,Rosa
Vicia spp,Vetch,Fabales,Fabaceae,Vicia
Alnus glutinosa,Alder,Fagales,Betulaceae,Alnus
Prunus spinosa,Blackthorn,Rosales,Rosaceae,Prunus
Sorbus aucuparia,Rowan,Rosales,Rosaceae,Sorbus
Ilex aquifolium,Holly,Aquifoliales,Aquifoliaceae,Ilex
Rubus fruticosus,Bramble,Rosales,Rosaceae,Rubus
Hedera helix,Ivy,Apiales,Araliaceae,Hedera
Ulex europaeus,Gorse,Fabales,Fabaceae,Ulex
Urtica dioica,Common Nettle,Rosales,Urticaceae,Urtica
Filipendula ulmaria,Meadowsweet,Rosales,Rosaceae,Filipendula
Succisa pratensis,Devil's-bit Scabious,Dipsacales,Caprifoliaceae,Succisa
Trifolium repens,White Clover,Fabales,Fabaceae,Trifolium
Chamerion angustifolium,Rosebay Willowherb,Myrtales,Onagraceae,Chamerion
Vicia benghalensis,Purple Vetch,Fabales,Fabaceae,Vicia
Stellaria graminea,Lesser Stitchwort,Caryophyllales,Caryophyllaceae,Stellaria
Poa annua,Annual Meadow-grass,Poales,Poaceae,Poa
Hypochaeris radicata,Cat's-ear,Asterales,Asteraceae,Hypochaeris
Melampyrum pratense,Common Cow-wheat,Lamiales,Orobanchaceae,Melampyrum
Galium saxatile,Heath Bedstraw,Gentianales,Rubiaceae,Galium
Potentilla erecta,Tormentil,Rosales,Rosaceae,Potentilla
Erica tetralix,Cross-leaved Heath,Ericales,Ericaceae,Erica
Eriophorum vaginatum,Hare's-tail Cottongrass,Poales,Cyperaceae,Eriophorum
Lapsana communis,Nipplewort,Asterales,Asteraceae,Lapsana
Ranunculus repens,Creeping Buttercup,Ranunculales,Ranunculaceae,Ranunculus
Cirsium arvense,Creeping Thistle,Asterales,Asteraceae,Cirsium
Plantago lanceolata,Ribwort Plantain,Lamiales,Plantaginaceae,Plantago
Lathyrus pratensis,Meadow Vetchling,Fabales,Fabaceae,Lathyrus
Anthriscus sylvestris,Cow Parsley,Apiales,Apiaceae,Anthriscus
Geranium robertianum,Herb-Robert,Geraniales,Geraniaceae,Geranium
Silene dioica,Red Campion,Caryophyllales,Caryophyllaceae,Silene
Galium aparine,Cleavers,Gentianales,Rubiaceae,Galium
Brassica napus,Oil-seed Rape,Brassicales,Brassicaceae,Brassica
Anagallis arvensis,Scarlet Pimpernel,Ericales,Primulaceae,Anagallis
Odontites vernus,Red Bartsia,Lamiales,Orobanchaceae,Odontites
Potentilla anserina,Silverweed,Rosales,Rosaceae,Potentilla
Prunella vulgaris,Selfheal,Lamiales,Lamiaceae,Prunella
Bellis perennis,Daisy,Asterales,Asteraceae,Bellis
Cirsium vulgare,Spear Thistle,Asterales,Asteraceae,Cirsium
Senecio vulgaris,Groundsel,Asterales,Asteraceae,Senecio
Lamium album,White Dead-nettle,Lamiales,Lamiaceae,Lamium
Myosotis arvensis,Field Forget-me-not,NA,Boraginaceae,Myosotis
Mercurialis perennis,Dog's Mercury,Malpighiales,Euphorbiaceae,Mercurialis
Sonchus asper,Prickly Sow-thistle,Asterales,Asteraceae,Sonchus
Peucedanum ostruthium,Masterwort,Apiales,Apiaceae,Peucedanum
Epilobium palustre,Marsh Willowherb,Myrtales,Onagraceae,Epilobium
Turgenia latifolia,Greater Bur-parsley,Apiales,Apiaceae,Turgenia
Aegopodium podagraria,Ground-elder,Apiales,Apiaceae,Aegopodium
Heracleum sphondylium,Hogweed,Apiales,Apiaceae,Heracleum
Cirsium palustre,Marsh Thistle,Asterales,Asteraceae,Cirsium
Trifolium pratense,Red Clover,Fabales,Fabaceae,Trifolium
Scorzoneroides autumnalis,Autumn Hawkbit,Asterales,Asteraceae,Scorzoneroides
Digitalis purpurea,Foxglove,Lamiales,Plantaginaceae,Digitalis
Galium palustre,Marsh-bedstraw,Gentianales,Rubiaceae,Galium
Veronica chamaedrys,Germander Speedwell,Lamiales,Plantaginaceae,Veronica
Cardamine pratensis,Cuckooflower,Brassicales,Brassicaceae,Cardamine
Dactylorhiza fuchsii,Common Spotted-orchid,Asparagales,Orchidaceae,Dactylorhiza
Doronicum plantagineum,Plantain-leaved Leopard's-bane,Asterales,Asteraceae,Doronicum
Cerastium fontanum,Common Mouse-ear,Caryophyllales,Caryophyllaceae,Cerastium
Ranunculus flammula,Lesser Spearwort,Ranunculales,Ranunculaceae,Ranunculus
Rumex obtusifolius,Broad-leaved Dock,Caryophyllales,Polygonaceae,Rumex
Cardamine hirsuta,Hairy Bitter-cress,Brassicales,Brassicaceae,Cardamine
Impatiens glandulifera,Indian Balsam,Ericales,Balsaminaceae,Impatiens
Lotus corniculatus,Common Bird's-foot-trefoil,Fabales,Fabaceae,Lotus
Centaurea nigra,Common Knapweed,Asterales,Asteraceae,Centaurea
Viola riviniana,Common Dog-violet,Malpighiales,Violaceae,Viola
Anemone nemorosa,Wood Anemone,Ranunculales,Ranunculaceae,Anemone
Alliaria petiolata,Garlic Mustard,Brassicales,Brassicaceae,Alliaria
Calluna vulgaris,Heather,Ericales,Ericaceae,Calluna
Campanula rotundifolia,Harebell,Asterales,Campanulaceae,Campanula
Crataegus monogyna,Hawthorn,Rosales,Rosaceae,Crataegus
Ranunculus acris,Meadow Buttercup,Ranunculales,Ranunculaceae,Ranunculus
Vaccinium vitis,Cowberry,Ericales,Ericaceae,Vaccinium
Vaccinium myrtillus,Bilberry,Ericales,Ericaceae,Vaccinium
Sisymbrium officinale,Hedge Mustard,Brassicales,Brassicaceae,Sisymbrium
Aethusa cynapium,Fool's Parsley,Apiales,Apiaceae,Aethusa
Silene latifolia,White Campion,Caryophyllales,Caryophyllaceae,Silene
Papaver rhoeas,Common Poppy,Ranunculales,Papaveraceae,Papaver
Cichorium intybus,Chicory,Asterales,Asteraceae,Cichorium
Narthecium ossifragum,Bog Asphodel,Dioscoreales,Nartheciaceae,Narthecium
Galium verum,Lady's Bedstraw,Gentianales,Rubiaceae,Galium
Veronica serpyllifolia,Thyme-leaved Speedwell,Lamiales,Plantaginaceae,Veronica
Crepis capillaris,Smooth Hawk's-beard,Asterales,Asteraceae,Crepis
Plantago major,Greater Plantain,Lamiales,Plantaginaceae,Plantago
Verbena x,Hybrid Verbena,Lamiales,Verbenaceae,Verbena
Epilobium hirsutum,Great Willowherb,Myrtales,Onagraceae,Epilobium
Persicaria maculosa,Redshank,Caryophyllales,Polygonaceae,Persicaria
Picris echioides,Bristly Oxtongue,Asterales,Asteraceae,Picris
Jacobaea vulgaris,Common Ragwort,Asterales,Asteraceae,Jacobaea
Sinapis arvensis,Charlock,Brassicales,Brassicaceae,Sinapis
Capsella bursa,Shepherd's-purse,Brassicales,Brassicaceae,Capsella
Rumex crispus,Curled Dock,Caryophyllales,Polygonaceae,Rumex
Geranium dissectum,Cut-leaved Crane's-bill,Geraniales,Geraniaceae,Geranium
Lactuca serriola,Prickly Lettuce,Asterales,Asteraceae,Lactuca
Veronica persica,Common Field-speedwell,Lamiales,Plantaginaceae,Veronica
Convolvulus arvensis,Field Bindweed,Solanales,Convolvulaceae,Convolvulus
Viola arvensis,Field Pansy,Malpighiales,Violaceae,Viola
Anchusa arvensis,Bugloss,NA,Boraginaceae,Anchusa
Rumex acetosella,Sheep's Sorrel,Caryophyllales,Polygonaceae,Rumex
Erica cinerea,Bell Heather,Ericales,Ericaceae,Erica
Lysimachia nemorum,Yellow Pimpernel,Ericales,Primulaceae,Lysimachia
Medicago lupulina,Black Medick,Fabales,Fabaceae,Medicago
Luzula campestris,Field Wood-rush,Poales,Juncaceae,Luzula
Glechoma hederacea,Ground-ivy,Lamiales,Lamiaceae,Glechoma
Sagina saginoides,Scottish Pearlwort,Caryophyllales,Caryophyllaceae,Sagina
Lonicera periclymenum,Honeysuckle,Dipsacales,Caprifoliaceae,Lonicera
Ballota nigra,Black Horehound,Lamiales,Lamiaceae,Ballota
Mentha aquatica,Water Mint,Lamiales,Lamiaceae,Mentha
Solanum dulcamara,Bittersweet,Solanales,Solanaceae,Solanum
Achillea millefolium,Yarrow,Asterales,Asteraceae,Achillea
Calystegia sepium,Hedge Bindweed,Solanales,Convolvulaceae,Calystegia
Centaurea cyanus,Cornflower,Asterales,Asteraceae,Centaurea
Daucus carota,Wild Carrot,Apiales,Apiaceae,Daucus
Sonchus arvensis,Perennial Sow-thistle,Asterales,Asteraceae,Sonchus
Matricaria discoidea,Pineappleweed,Asterales,Asteraceae,Matricaria
Ulex gallii,Western Gorse,Fabales,Fabaceae,Ulex
Leontodon hispidus,Rough Hawkbit,Asterales,Asteraceae,Leontodon
Epilobium montanum,Broad-leaved Willowherb,Myrtales,Onagraceae,Epilobium
Buddleja davidii,Butterfly-bush,Lamiales,Scrophulariaceae,Buddleja
Chamaemelum nobile,Chamomile,Asterales,Asteraceae,Chamaemelum
Artemisia vulgaris,Mugwort,Asterales,Asteraceae,Artemisia
Lythrum salicaria,Purple-loosestrife,Myrtales,Lythraceae,Lythrum
Vicia sativa,Common Vetch,Fabales,Fabaceae,Vicia
Tripleurospermum inodorum,Scentless Mayweed,Asterales,Asteraceae,Tripleurospermum
Pedicularis sylvatica,Lousewort,Lamiales,Orobanchaceae,Pedicularis
Lotus pedunculatus,Greater Bird's-foot-trefoil,Fabales,Fabaceae,Lotus
Pulicaria dysenterica,Common Fleabane,Asterales,Asteraceae,Pulicaria
Hypericum forrestii,Forrest's Tutsan,Malpighiales,Hypericaceae,Hypericum
Geum urbanum,Herb Bennet,Rosales,Rosaceae,Geum
Stachys sylvatica,Hedge Woundwort,Lamiales,Lamiaceae,Stachys
Thymus vulgaris,Garden Thyme,Lamiales,Lamiaceae,Thymus
Conopodium majus,Pignut,Apiales,Apiaceae,Conopodium
Pilosella officinarum,Mouse-ear-hawkweed,Asterales,Asteraceae,Pilosella
Galeopsis tetrahit,Common Hemp-nettle,Lamiales,Lamiaceae,Galeopsis
Circaea lutetiana,Enchanter's-nightshade,Myrtales,Onagraceae,Circaea
Clematis vitalba,Traveller's-joy,Ranunculales,Ranunculaceae,Clematis
Impatiens parviflora,Small Balsam,Ericales,Balsaminaceae,Impatiens
Plantago maritima,Sea Plantain,Lamiales,Plantaginaceae,Plantago
Atriplex portulacoides,Sea-purslane,Caryophyllales,Amaranthaceae,Atriplex
Tragopogon pratensis,Goat's-beard,Asterales,Asteraceae,Tragopogon
Epilobium parviflorum,Hoary Willowherb,Myrtales,Onagraceae,Epilobium
Taraxacum agg,NA,Asterales,Asteraceae,Taraxacum
Polygala vulgaris,Common Milkwort,Fabales,Polygalaceae,Polygala
Vaccinium oxycoccos,Cranberry,Ericales,Ericaceae,Vaccinium
Rumex sanguineus,Wood Dock,Caryophyllales,Polygonaceae,Rumex
Spergula arvensis,Corn Spurrey,Caryophyllales,Caryophyllaceae,Spergula
Linum usitatissimum,Flax,Malpighiales,Linaceae,Linum
Lamium purpureum,Red Dead-nettle,Lamiales,Lamiaceae,Lamium
Geranium pratense,Meadow Crane's-bill,Geraniales,Geraniaceae,Geranium
Lathyrus aphaca,Yellow Vetchling,Fabales,Fabaceae,Lathyrus
Tripleurospermum maritimum,Mayweed,Asterales,Asteraceae,Tripleurospermum
Stellaria media,Common Chickweed,Caryophyllales,Caryophyllaceae,Stellaria
Polygonum aviculare,Knotgrass,Caryophyllales,Polygonaceae,Polygonum
Rhinanthus minor,Yellow-rattle,Lamiales,Orobanchaceae,Rhinanthus
Valeriana officinalis,Common Valerian,Dipsacales,Caprifoliaceae,Valeriana
