x1km_square,species,n_observed,genus
NC0429,Anasimyia contracta,0,Anasimyia
NC0429,Anasimyia lineata,0,Anasimyia
NC0429,Anasimyia transfuga,0,Anasimyia
NC0429,Andrena alfkenella,0,Andrena
NC0429,Andrena angustior,0,Andrena
NC0429,Andrena bicolor,0,Andrena
NC0429,Andrena bucephala,0,Andrena
NC0429,Andrena chrysosceles,0,Andrena
NC0429,Andrena cineraria,0,Andrena
NC0429,Andrena coitana,0,Andrena
NC0429,Andrena denticulata,0,Andrena
NC0429,Andrena dorsata,0,Andrena
NC0429,Andrena flavipes,0,Andrena
NC0429,Andrena fucata,0,Andrena
NC0429,Andrena fulva,0,Andrena
NC0429,Andrena haemorrhoa,0,Andrena
NC0429,Andrena helvola,0,Andrena
NC0429,Andrena humilis,0,Andrena
NC0429,Andrena lapponica,0,Andrena
NC0429,Andrena minutula,0,Andrena
NC0429,Andrena nigriceps,0,Andrena
NC0429,Andrena nigroaenea,0,Andrena
NC0429,Andrena nitida,0,Andrena
NC0429,Andrena scotica,0,Andrena
NC0429,Andrena semilaevis,0,Andrena
NC0429,Andrena subopaca,0,Andrena
NC0429,Andrena synadelpha,0,Andrena
NC0429,Andrena tarsata,0,Andrena
NC0429,Andrena thoracica,0,Andrena
NC0429,Andrena trimmerana,0,Andrena
NC0429,Andrena wilkella,0,Andrena
NC0429,Anthidium manicatum,0,Anthidium
NC0429,Anthophora furcata,0,Anthophora
NC0429,Anthophora plumipes,0,Anthophora
NC0429,Apis mellifera,0,Apis
NC0429,Arctophila superbiens,0,Arctophila
NC0429,Bombus barbutellus,0,Bombus
NC0429,Bombus bohemicus,0,Bombus
NC0429,Bombus campestris,0,Bombus
NC0429,Bombus hortorum,0,Bombus
NC0429,Bombus humilis,0,Bombus
NC0429,Bombus hypnorum,0,Bombus
NC0429,Bombus jonellus,0,Bombus
NC0429,Bombus lapidarius,0,Bombus
NC0429,Bombus lucorum,0,Bombus
NC0429,Bombus monticola,0,Bombus
NC0429,Bombus muscorum,0,Bombus
NC0429,Bombus pascuorum,0,Bombus
NC0429,Bombus pratorum,0,Bombus
NC0429,Bombus ruderarius,0,Bombus
NC0429,Bombus ruderatus,0,Bombus
NC0429,Bombus rupestris,0,Bombus
NC0429,Bombus soroeensis,0,Bombus
NC0429,Bombus sylvestris,0,Bombus
NC0429,Bombus terrestris,0,Bombus
NC0429,Bombus vestalis,0,Bombus
NC0429,Chalcosyrphus nemorum,0,Chalcosyrphus
NC0429,Cheilosia albitarsis,0,Cheilosia
NC0429,Cheilosia bergenstammi,0,Cheilosia
NC0429,Cheilosia fraterna,0,Cheilosia
NC0429,Cheilosia illustrata,0,Cheilosia
NC0429,Cheilosia lasiopa,0,Cheilosia
NC0429,Cheilosia latifrons,0,Cheilosia
NC0429,Cheilosia pagana,0,Cheilosia
NC0429,Cheilosia proxima,0,Cheilosia
NC0429,Cheilosia soror,0,Cheilosia
NC0429,Cheilosia vernalis,0,Cheilosia
NC0429,Chelostoma campanularum,0,Chelostoma
NC0429,Chrysogaster cemiteriorum,0,Chrysogaster
NC0429,Chrysogaster virescens,0,Chrysogaster
NC0429,Chrysotoxum arcuatum,0,Chrysotoxum
NC0429,Chrysotoxum bicinctum,0,Chrysotoxum
NC0429,Chrysotoxum festivum,0,Chrysotoxum
NC0429,Chrysotoxum verralli,0,Chrysotoxum
NC0429,Coelioxys elongata,0,Coelioxys
NC0429,Coelioxys inermis,0,Coelioxys
NC0429,Colletes similis,0,Colletes
NC0429,Colletes succinctus,0,Colletes
NC0429,Dasypoda hirtipes,0,Dasypoda
NC0429,Dasysyrphus albostriatus,0,Dasysyrphus
NC0429,Dasysyrphus neovenustus,0,Dasysyrphus
NC0429,Dasysyrphus tricinctus,0,Dasysyrphus
NC0429,Dasysyrphus venustus,0,Dasysyrphus
NC0429,Epistrophe grossulariae,0,Epistrophe
NC0429,Episyrphus balteatus,1,Episyrphus
NC0429,Eristalinus aeneus,0,Eristalinus
NC0429,Eristalinus sepulchralis,0,Eristalinus
NC0429,Eristalis abusiva,0,Eristalis
NC0429,Eristalis abusivus,0,Eristalis
NC0429,Eristalis arbustorum,0,Eristalis
NC0429,Eristalis horticola,0,Eristalis
NC0429,Eristalis intricaria,0,Eristalis
NC0429,Eristalis intricarius,0,Eristalis
NC0429,Eristalis nemorum,0,Eristalis
NC0429,Eristalis pertinax,0,Eristalis
NC0429,Eristalis rupium,0,Eristalis
NC0429,Eristalis tenax,0,Eristalis
NC0429,Eucera longicornis,0,Eucera
NC0429,Eumerus funeralis,0,Eumerus
NC0429,Eumerus ornatus,0,Eumerus
NC0429,Eumerus strigatus,0,Eumerus
NC0429,Eupeodes corollae,0,Eupeodes
NC0429,Eupeodes latifasciatus,0,Eupeodes
NC0429,Eupeodes luniger,0,Eupeodes
NC0429,Ferdinandea cuprea,0,Ferdinandea
NC0429,Halictus confusus,0,Halictus
NC0429,Halictus eurygnathus,0,Halictus
NC0429,Halictus rubicundus,0,Halictus
NC0429,Halictus tumulorum,0,Halictus
NC0429,Helophilus hybridus,0,Helophilus
NC0429,Helophilus pendulus,0,Helophilus
NC0429,Helophilus trivittatus,0,Helophilus
NC0429,Hylaeus brevicornis,0,Hylaeus
NC0429,Hylaeus communis,0,Hylaeus
NC0429,Hylaeus confusus,0,Hylaeus
NC0429,Hylaeus dilatatus,0,Hylaeus
NC0429,Hylaeus hyalinatus,0,Hylaeus
NC0429,Hylaeus pectoralis,0,Hylaeus
NC0429,Lasioglossum albipes,0,Lasioglossum
NC0429,Lasioglossum calceatum,0,Lasioglossum
NC0429,Lasioglossum cupromicans,0,Lasioglossum
NC0429,Lasioglossum fratellum,0,Lasioglossum
NC0429,Lasioglossum fulvicorne,0,Lasioglossum
NC0429,Lasioglossum laevigatum,0,Lasioglossum
NC0429,Lasioglossum lativentre,0,Lasioglossum
NC0429,Lasioglossum leucopus,0,Lasioglossum
NC0429,Lasioglossum leucozonium,0,Lasioglossum
NC0429,Lasioglossum malachurum,0,Lasioglossum
NC0429,Lasioglossum minutissimum,0,Lasioglossum
NC0429,Lasioglossum morio,0,Lasioglossum
NC0429,Lasioglossum parvulum,0,Lasioglossum
NC0429,Lasioglossum pauperatum,0,Lasioglossum
NC0429,Lasioglossum pauxillum,0,Lasioglossum
NC0429,Lasioglossum punctatissimum,0,Lasioglossum
NC0429,Lasioglossum puncticolle,0,Lasioglossum
NC0429,Lasioglossum quadrinotatum,0,Lasioglossum
NC0429,Lasioglossum rufitarse,0,Lasioglossum
NC0429,Lasioglossum smeathmanellum,0,Lasioglossum
NC0429,Lasioglossum villosulum,0,Lasioglossum
NC0429,Lasioglossum xanthopus,0,Lasioglossum
NC0429,Lasioglossum zonulum,0,Lasioglossum
NC0429,Lejogaster metallina,0,Lejogaster
