species,english_name,order,family,genus,mean_dry_mass,mean_intertegular_distance
Platycheirus granditarsus,NA,Diptera,Syrphidae,Platycheirus,NA,NA
Platycheirus albimanus,NA,Diptera,Syrphidae,Platycheirus,3.701000222222222,1.8145555555555555
Melanostoma scalare,NA,Diptera,Syrphidae,Melanostoma,3.7286363636363635,1.5798181818181818
Syrphus vitripennis,NA,Diptera,Syrphidae,Syrphus,15.19,2.461
Neoascia podagrica,NA,Diptera,Syrphidae,Neoascia,NA,NA
Eristalis tenax,NA,Diptera,Syrphidae,Eristalis,37.285545545454546,4.189727272727273
Eupeodes latifasciatus,NA,Diptera,Syrphidae,Eupeodes,6.071,2.0085
Eupeodes luniger,NA,Diptera,Syrphidae,Eupeodes,15.62250025,2.6712499999999997
Helophilus pendulus,NA,Diptera,Syrphidae,Helophilus,23.479333333333333,3.333
Meliscaeva cinctella,NA,Diptera,Syrphidae,Meliscaeva,2.21,1.703
Syrphus ribesii,NA,Diptera,Syrphidae,Syrphus,14.9760835,3.149125
Xylota segnis,NA,Diptera,Syrphidae,Xylota,11.354333333333333,2.4486666666666665
Sericomyia silentis,NA,Diptera,Syrphidae,Sericomyia,35.621,4.349
Eristalis arbustorum,NA,Diptera,Syrphidae,Eristalis,20.562444444444445,3.161111111111111
Melanostoma mellinum,NA,Diptera,Syrphidae,Melanostoma,4.933333416666667,1.6035
Rhingia campestris,NA,Diptera,Syrphidae,Rhingia,11.845333333333333,2.81
Episyrphus balteatus,Marmalade Hoverfly,Diptera,Syrphidae,Episyrphus,8.686708375,2.375375
Bombus lucorum,White/Buff-tailed Bumblebee workers,Hymenoptera,Apidae,Bombus,61.5003092972973,3.961593209009009
Dasysyrphus albostriatus,NA,Diptera,Syrphidae,Dasysyrphus,7.621,2.2203333333333335
Meliscaeva auricollis,NA,Diptera,Syrphidae,Meliscaeva,2.502889,2.0656666666666665
Volucella pellucens,NA,Diptera,Syrphidae,Volucella,57.221,4.837
Platycheirus scutatus,NA,Diptera,Syrphidae,Platycheirus,NA,NA
Bombus pratorum,Early Bumblebee,Hymenoptera,Apidae,Bombus,40.748865276595744,3.481959570212766
Bombus hypnorum,Tree Bumblebee,Hymenoptera,Apidae,Bombus,53.230304347826085,3.9527391304347828
Syritta pipiens,NA,Diptera,Syrphidae,Syritta,4.653743615384616,1.5895384615384616
Eupeodes corollae,NA,Diptera,Syrphidae,Eupeodes,4.8901334,1.9245999999999999
Bombus lucorum,NA,Hymenoptera,Apidae,Bombus,61.5003092972973,3.961593209009009
Halictus rubicundus,Yellow-legged Furrow Bee,Hymenoptera,Halictidae,Halictus,9.349708375,1.9875224999999999
Eristalis pertinax,NA,Diptera,Syrphidae,Eristalis,23.621,3.487
Chrysotoxum arcuatum,NA,Diptera,Syrphidae,Chrysotoxum,NA,NA
Bombus pascuorum,Common Carder Bee,Hymenoptera,Apidae,Bombus,71.53944114705882,4.022711832352941
Bombus hortorum,Small Garden Bumblebee,Hymenoptera,Apidae,Bombus,67.60467776666667,4.243217946666666
Helophilus hybridus,NA,Diptera,Syrphidae,Helophilus,NA,NA
Platycheirus manicatus,NA,Diptera,Syrphidae,Platycheirus,NA,NA
Cheilosia albitarsis,NA,Diptera,Syrphidae,Cheilosia,NA,NA
Lasioglossum leucozonium,White-zoned Furrow Bee,Hymenoptera,Halictidae,Lasioglossum,7.643933333333333,1.70679486
Apis mellifera,Western Honey Bee,Hymenoptera,Apidae,Apis,24.50403448275862,2.949320268965517
Lasioglossum villosulum,Shaggy Furrow Bee,Hymenoptera,Halictidae,Lasioglossum,3.79770834375,1.3555036875
Lasioglossum calceatum,Common Furrow Bee,Hymenoptera,Halictidae,Lasioglossum,6.902732178571429,1.7330855785714285
Bombus terrestris,NA,Hymenoptera,Apidae,Bombus,96.77160301123595,4.564807988764045
Andrena haemorrhoa,Orange-tailed Mining Bee,Hymenoptera,Andrenidae,Andrena,18.14189189189189,2.3933497297297297
Andrena angustior,Groove-faced Mining Bee,Hymenoptera,Andrenidae,Andrena,NA,NA
Halictus tumulorum,Bronze Furrow Bee,Hymenoptera,Halictidae,Halictus,4.100279069767442,1.3848284604651162
Andrena minutula,Common Mini-miner,Hymenoptera,Andrenidae,Andrena,3.204888888888889,1.4029390518518519
Lasioglossum laevigatum,Red-backed Furrow Bee,Hymenoptera,Halictidae,Lasioglossum,NA,NA
Lasioglossum leucopus,White-footed Furrow Bee,Hymenoptera,Halictidae,Lasioglossum,2.341667,1.2
Myathropa florea,NA,Diptera,Syrphidae,Myathropa,23.877555666666666,3.9275
Lasioglossum morio,Green Furrow Bee,Hymenoptera,Halictidae,Lasioglossum,1.7150400000000001,1.043156696
Hylaeus communis,Common Yellow-face Bee,Hymenoptera,Colletidae,Hylaeus,4.374476285714286,1.3753358857142857
Sphaerophoria taeniata,NA,Diptera,Syrphidae,Sphaerophoria,3.8575,1.6855
Platycheirus peltatus,NA,Diptera,Syrphidae,Platycheirus,NA,NA
Sphaerophoria scripta,NA,Diptera,Syrphidae,Sphaerophoria,7.2945001000000005,1.7626
Lasioglossum albipes,Bloomed Furrow Bee,Hymenoptera,Halictidae,Lasioglossum,NA,NA
Lasioglossum malachurum,Sharp-collared Furrow Bee,Hymenoptera,Halictidae,Lasioglossum,7.9582,1.66060968
Eristalinus sepulchralis,NA,Diptera,Syrphidae,Eristalinus,NA,NA
