sciname,FE
Acanthephyra armata,1.963
Acanthephyra armata,3.954
Acetes japonicus,14
Acetes japonicus,6.2
Acetes japonicus,0.7
Acetes japonicus,3.9
Actinopyga caerulea,4.1
Actinopyga mauritiana,66
Ameghinomya antiqua,5.2
Amphioctopus fangsiao,2.2
Amphioctopus marginatus,0.244
Anadara broughtonii,0.02635
Anadara broughtonii,5
Anadara broughtonii,0.04269
Anadara broughtonii,0.04843
Anadara sativa,11.3
Anadara senilis,25.71
Anodonta woodiana,18.2
Anthocidaris crassispina,2.4
Anthocidaris crassispina,4
Anthocidaris crassispina,1.8
Anthocidaris crassispina,0.7
Anthocidaris crassispina,6.2
Anthocidaris crassispina,5
Aplysia kurodai,1.7
Apostichopus japonicus,4
Apostichopus japonicus,0.1
Apostichopus japonicus,1.2
Arca noae,12.5
Arctica islandica,5.3
Aristaeomorpha foliacea,1.4
Aristeus antennatus,9
"Astacus, orconectes,, procambarus spp.",0.55
"Astacus, orconectes,, procambarus spp.",0.83
"Astacus, orconectes,, procambarus spp.",1.11
"Astacus, orconectes,, procambarus spp.",0.84
Atergatis reticulatus,0.6
Atrina pectinata,6.5
Atrina pectinata,8.2
Atrina pectinata,0.8
Atrina pectinata,0.6
Aulacomya atra,1.2
Aulacomya atra,3.3
Austrovenus stutchburyi,7.9
"Babylonia japonica, buccinum striatissimum, buccinum tsubai",0.7
Babylonia spirata,1.313
Babylonia spirata,1.8
Batissa violacea,26.8
Birgus latro,1.735
Bohadschia argus,33
Brotia costula,5.07
Buccinum opisoplectum,1.6
Buccinum striatissimum,2.1
Buccinum undatum,6.68
Calappa granulata,15.63
Callinectes pallidus,0.93
Callinectes pallidus,1.252
Callinectes sapidus,0.91
Callinectes sapidus,0.7
Callinectes sapidus,0.5
Callinectes sapidus,0.3
Callinectes sapidus,1.08
Callinectes sapidus,0.9
Callinectes sapidus,0.74
Callinectes sapidus,2.32
Callinectes sapidus,0.6
Callinectes sapidus,0.674
Callinectes sapidus,1.19
Callinectes sapidus,1.67
Cancer magister,0.3
Cancer magister,4.42
Cancer magister,0.4
Cancer magister,0.365
Cancer magister,0.35
Cancer magister,0.43
Cancer magister,0.37
Cancer pagurus,0.5
Cancer pagurus,0.57
Cancer pagurus,0.6
Cancer pagurus,0.7
Cancer polydon,0.59
Cancer polydon,2.27
Cancer porteri,0.8
Cancer porteri,2.07
Cantharus lineatus,7.8
Cardisoma armatum,1.302
Cardisoma armatum,1.05
"Caridea, caprellida",0.109
"Caridea, caprellida",3.09
"Caridea, caprellida",0.1
"Caridea, caprellida",2.4
"Caridea, caprellida",9.86
"Caridea, caprellida",23.7
"Caridea, caprellida",8
"Caridea, caprellida",0
"Caridea, caprellida",1.5
"Caridea, caprellida",0.539
"Caridea, caprellida",8.5
"Caridea, caprellida",1.98
Cervimunida johni,2.5
Chaceon maritae,1.85
Chaceon maritae,1.2
Chamelea gallina,6.44
Chamelea gallina,6.73
Chamelea gallina,7.7
Chamelea gallina,9.7
Chamelea gallina,12.2
Chamelea gallina,10.7
Chamelea gallina,6.31
Chamelea gallina,8.2
Charonia sauliae,5
Charybdis japonica,1.9
Charybdis natator,1.05
Charybdis natator,1.34
Chionoecetes japonicus,1.5
Chionoecetes opilio,0.7
Chionoecetes opilio,1.1
Chionoecetes opilio,0.5
Chionoecetes opilio,2.5
Chionoecetes opilio,3.9
Chionoecetes opilio,2.88
Chlamys farreri,3.2
Chlamys glabra,15.7107
Cipangopaludina chinensis,4.3
Cipangopaludina chinensis,17.1
"Cipangopaludina chinensis laeta, sinotais quadrata histricus",19.4
Cipangopaludina chinensis malleata,5.8
Clinocardium nuttallii,16.2
Concholepas concholepas,0.7
Cookia sulcata,5.81
Cookia sulcata,7.41
Corbicula fluminea,21
"Corbicula leana, corbicula japonica",14.8
"Corbicula leana, corbicula japonica",8.3
Crangon crangon,1.6
Crangon crangon,1.7
Crangon crangon,2
Crassostrea bilineata,0.064
Crassostrea gaster,16.52
Crassostrea gigas,4.5
Crassostrea gigas,1.6
Crassostrea gigas,3.9
Crassostrea gigas,4.43
Crassostrea gigas,3.7
Crassostrea gigas,1.3
Crassostrea gigas,2.8
Crassostrea gigas,9.2
Crassostrea gigas,1.9
Crassostrea gigas,2.7
Crassostrea gigas,16.8
Crassostrea gigas,2.6
Crassostrea gigas,5.45
Crassostrea gigas,8.2
Crassostrea gigas,3.5
Crassostrea gigas,3.2
Crassostrea gigas,2
Crassostrea gigas,5.11
Crassostrea madrasensis,3.7
Crassostrea nippona,3.9
Crassostrea rhizophorae,3.1
Crassostrea rhizophorae,2.4
Crassostrea rhizophorae,2.5
Crassostrea rhizophorea,0.58
Crassostrea virginica,4.61
Crassostrea virginica,5.2
Crassostrea virginica,9.21
Crassostrea virginica,7.4
Crassostrea virginica,7.77
Crassostrea virginica,5.9
Crassostrea virginica,5.78
Crassostrea virginica,4.6
Crassostrea virginica,5.8
