distance_from_sea,chips_stolen
7,TRUE
8.6,FALSE
2.5,FALSE
6.6,FALSE
2.7,TRUE
9,FALSE
4.1,TRUE
7.8,FALSE
7.2,FALSE
1.7,TRUE
9.8,FALSE
7.4,FALSE
0.9,TRUE
0.1,TRUE
3.9,FALSE
8.8,FALSE
0.3,FALSE
1.1,TRUE
1.9,FALSE
4.7,FALSE
1.5,FALSE
2.3,FALSE
4.5,FALSE
3.1,TRUE
1.3,TRUE
6.2,FALSE
10,FALSE
2.9,TRUE
5.6,FALSE
5.8,FALSE
9.2,FALSE
5.4,FALSE
6.4,FALSE
3.7,FALSE
8.2,FALSE
9.4,FALSE
2.1,TRUE
8.4,FALSE
0.5,TRUE
4.3,FALSE
6,FALSE
7.6,FALSE
9.6,FALSE
8,FALSE
4.9,FALSE
3.5,FALSE
3.3,FALSE
0.7,TRUE
6.8,TRUE
5.2,TRUE
