Gene_ID,Cancer_Type,Gene_Mutation_Count,Gene_Severe_Mutation_Count,Gene_Individuals_with_Mutations_Count,Gene_Individuals_with_Severe_Mutations_Count
TTN,Stomach_Adenocarcinoma,842,72,262,62
BCOR,Stomach_Adenocarcinoma,47,25,40,23
RNF43,Stomach_Adenocarcinoma,52,40,39,37
KMT2D,Stomach_Adenocarcinoma,124,48,76,40
PCLO,Stomach_Adenocarcinoma,161,28,101,23
LARP4B,Stomach_Adenocarcinoma,39,29,35,29
ZBTB20,Stomach_Adenocarcinoma,72,33,54,32
MUC6,Stomach_Adenocarcinoma,75,24,58,24
KMT2B,Stomach_Adenocarcinoma,74,35,47,28
KMT2C,Stomach_Adenocarcinoma,116,37,74,30
DOCK3,Stomach_Adenocarcinoma,74,38,55,35
UBR5,Stomach_Adenocarcinoma,71,35,48,32
RPL22,Stomach_Adenocarcinoma,33,26,30,25
ZFHX4,Stomach_Adenocarcinoma,130,27,93,27
MDN1,Stomach_Adenocarcinoma,106,24,65,23
SYNE2,Stomach_Adenocarcinoma,109,29,71,24
ARID1A,Stomach_Adenocarcinoma,146,108,110,92
PTEN,Stomach_Adenocarcinoma,47,29,35,23
HMCN1,Stomach_Adenocarcinoma,165,24,102,24
TP53,Stomach_Adenocarcinoma,228,67,215,66
LRP1B,Stomach_Adenocarcinoma,213,24,132,24
ACVR2A,Stomach_Adenocarcinoma,50,42,49,42
APC,Stomach_Adenocarcinoma,71,34,57,27
