Gene_ID,Cancer_Type,Gene_Mutation_Count,Gene_Severe_Mutation_Count,Gene_Individuals_with_Mutations_Count,Gene_Individuals_with_Severe_Mutations_Count
VPS13C,Uterine_Corpus_Endometrial_Carcinoma,179,36,60,25
REV3L,Uterine_Corpus_Endometrial_Carcinoma,200,24,75,24
ATAD2,Uterine_Corpus_Endometrial_Carcinoma,106,26,57,24
USH2A,Uterine_Corpus_Endometrial_Carcinoma,390,32,99,27
DNAH5,Uterine_Corpus_Endometrial_Carcinoma,327,29,95,25
ROBO1,Uterine_Corpus_Endometrial_Carcinoma,152,29,77,23
DNAH7,Uterine_Corpus_Endometrial_Carcinoma,323,51,100,40
SCAF4,Uterine_Corpus_Endometrial_Carcinoma,108,37,69,34
FAT3,Uterine_Corpus_Endometrial_Carcinoma,383,36,93,28
RYR3,Uterine_Corpus_Endometrial_Carcinoma,355,28,94,24
PCDH15,Uterine_Corpus_Endometrial_Carcinoma,293,28,86,22
DOCK11,Uterine_Corpus_Endometrial_Carcinoma,193,25,74,23
NF1,Uterine_Corpus_Endometrial_Carcinoma,206,45,84,28
ANKRD30B,Uterine_Corpus_Endometrial_Carcinoma,181,37,67,28
ZFHX3,Uterine_Corpus_Endometrial_Carcinoma,343,68,120,56
CEP290,Uterine_Corpus_Endometrial_Carcinoma,176,44,79,35
NIPBL,Uterine_Corpus_Endometrial_Carcinoma,180,26,83,25
NAA15,Uterine_Corpus_Endometrial_Carcinoma,101,24,55,23
TCERG1,Uterine_Corpus_Endometrial_Carcinoma,113,27,64,26
COL6A5,Uterine_Corpus_Endometrial_Carcinoma,182,30,68,24
LRRIQ1,Uterine_Corpus_Endometrial_Carcinoma,142,28,53,22
ZC3H13,Uterine_Corpus_Endometrial_Carcinoma,90,28,55,24
KIAA1109,Uterine_Corpus_Endometrial_Carcinoma,241,32,78,29
DMD,Uterine_Corpus_Endometrial_Carcinoma,463,61,103,38
ANK3,Uterine_Corpus_Endometrial_Carcinoma,273,35,98,29
MSH6,Uterine_Corpus_Endometrial_Carcinoma,120,33,60,28
TP53,Uterine_Corpus_Endometrial_Carcinoma,199,46,176,45
LRP1B,Uterine_Corpus_Endometrial_Carcinoma,411,36,96,26
