"sample_id","occurrence_id","taxon_group","taxon_source","english_name","source_taxon_version_key","order","family","floral_unit","total_floral_units","year"
18662589,"25697771","flowering plant","Rosa canina","Dog-rose","NHMSYS0000455486","Rosales","Rosaceae","individual flower",5,2021
18662589,"25697770","flowering plant","Vicia spp.","Vetch","NHMSYS0020825395","Fabales","Fabaceae","individual flower",10,2021
18662589,"25697769","flowering plant","Alnus glutinosa","Alder","NHMSYS0000455771","Fagales","Betulaceae","individual flower",,2021
18662589,"25697768","flowering plant","Prunus spinosa","Blackthorn","NBNSYS0000003412","Rosales","Rosaceae","individual flower",,2021
18662589,"25697767","flowering plant","Sorbus aucuparia","Rowan","NBNSYS0000003438","Rosales","Rosaceae","flower umbel",,2021
18662589,"25697766","flowering plant","Ilex aquifolium","Holly","NBNSYS0000003194","Aquifoliales","Aquifoliaceae","flower head",,2021
18662589,"25697765","flowering plant","Rubus fruticosus agg.","Bramble","NBNSYS0000003328","Rosales","Rosaceae","individual flower",,2021
18662551,"25697612","flowering plant","Hypericum","St. John's-Wort","NHMSYS0000459850","Malpighiales","Hypericaceae","individual flower",4,2021
18662551,"25697611","flowering plant","Sorbus aucuparia","Rowan","NBNSYS0000003438","Rosales","Rosaceae","flower umbel",,2021
18662551,"25697610","flowering plant","Hedera helix","Ivy","NBNSYS0000003630","Apiales","Araliaceae","flower head",,2021
18662551,"25697609","flowering plant","Ilex aquifolium","Holly","NBNSYS0000003194","Aquifoliales","Aquifoliaceae","flower head",,2021
18662551,"25697608","flowering plant","Ulex europaeus","Gorse","NBNSYS0000003211","Fabales","Fabaceae","individual flower",,2021
18662551,"25697607","flowering plant","Rubus fruticosus agg.","Bramble","NBNSYS0000003328","Rosales","Rosaceae","individual flower",,2021
18662480,"25697472","flowering plant","Rubus fruticosus agg.","Bramble","NBNSYS0000003328","Rosales","Rosaceae","individual flower",,2021
18662480,"25697471","flowering plant","Ranunculus","Buttercup","NHMSYS0000462231","Ranunculales","Ranunculaceae","individual flower",16,2021
18662480,"25697470","flowering plant","Urtica dioica","Common Nettle","NBNSYS0000003807","Rosales","Urticaceae","flower spike",15,2021
18662287,"25697267","flowering plant","Rubus fruticosus agg.","Bramble","NBNSYS0000003328","Rosales","Rosaceae","individual flower",,2021
18662287,"25697266","flowering plant","Vicia spp.","Vetch","NHMSYS0020825395","Fabales","Fabaceae","individual flower",16,2021
