"sample_id","occurrence_id","specimen_code","taxon_group","taxon_source","english_name","source_taxon_version_key","taxon_standardised","taxon_aggregated","count","sex","stage","comment","order","family","year"
18662589,"26175573","5849","insect - true fly (Diptera)","Platycheirus granditarsus",,"NBNSYS0100004762","Platycheirus granditarsus","Platycheirus granditarsus","1","female","adult",,"Diptera","Syrphidae",2021
18662589,"26175572","5860","insect - true fly (Diptera)","Platycheirus albimanus",,"NBNSYS0000006871","Platycheirus albimanus","Platycheirus albimanus","1","female","adult",,"Diptera","Syrphidae",2021
18662589,"26175571","5905","insect - true fly (Diptera)","Melanostoma scalare",,"NBNSYS0000006867","Melanostoma scalare","Melanostoma scalare","1","female","adult",,"Diptera","Syrphidae",2021
18662589,"26175570","5857","insect - true fly (Diptera)","Melanostoma scalare",,"NBNSYS0000006867","Melanostoma scalare","Melanostoma scalare","1","female","adult",,"Diptera","Syrphidae",2021
18662589,"26175569","5867","insect - true fly (Diptera)","Syrphus vitripennis",,"NBNSYS0000006966","Syrphus vitripennis","Syrphus vitripennis","1","male","adult",,"Diptera","Syrphidae",2021
18662589,"26175568","5902","insect - true fly (Diptera)","Neoascia podagrica",,"NBNSYS0000007030","Neoascia podagrica","Neoascia podagrica","1","female","adult",,"Diptera","Syrphidae",2021
18662589,"26175567","5876","insect - true fly (Diptera)","Neoascia podagrica",,"NBNSYS0000007030","Neoascia podagrica","Neoascia podagrica","1","female","adult",,"Diptera","Syrphidae",2021
18662589,"26175566","5875","insect - true fly (Diptera)","Neoascia podagrica",,"NBNSYS0000007030","Neoascia podagrica","Neoascia podagrica","1","female","adult",,"Diptera","Syrphidae",2021
18662589,"26175565","5913","insect - true fly (Diptera)","Neoascia podagrica",,"NBNSYS0000007030","Neoascia podagrica","Neoascia podagrica","1","female","adult",,"Diptera","Syrphidae",2021
18662589,"26175564","5882","insect - true fly (Diptera)","Neoascia podagrica",,"NBNSYS0000007030","Neoascia podagrica","Neoascia podagrica","1","female","adult",,"Diptera","Syrphidae",2021
18662589,"26175563","5893","insect - true fly (Diptera)","Neoascia podagrica",,"NBNSYS0000007030","Neoascia podagrica","Neoascia podagrica","1","female","adult",,"Diptera","Syrphidae",2021
18662589,"26175562","5884","insect - true fly (Diptera)","Neoascia podagrica",,"NBNSYS0000007030","Neoascia podagrica","Neoascia podagrica","1","female","adult",,"Diptera","Syrphidae",2021
18662589,"26175561","5880","insect - true fly (Diptera)","Neoascia podagrica",,"NBNSYS0000007030","Neoascia podagrica","Neoascia podagrica","1","female","adult",,"Diptera","Syrphidae",2021
18662589,"26175560","5866","insect - true fly (Diptera)","Neoascia podagrica",,"NBNSYS0000007030","Neoascia podagrica","Neoascia podagrica","1","female","adult",,"Diptera","Syrphidae",2021
18662589,"26175559","5895","insect - true fly (Diptera)","Eristalis tenax",,"NBNSYS0000007054","Eristalis tenax","Eristalis tenax","1","female","adult",,"Diptera","Syrphidae",2021
18662589,"26175558","5912","insect - true fly (Diptera)","Neoascia podagrica",,"NBNSYS0000007030","Neoascia podagrica","Neoascia podagrica","1","female","adult",,"Diptera","Syrphidae",2021
18662589,"26175557","5890","insect - true fly (Diptera)","Platycheirus granditarsus",,"NBNSYS0100004762","Platycheirus granditarsus","Platycheirus granditarsus","1","female","adult",,"Diptera","Syrphidae",2021
18662589,"26175556","5891","insect - true fly (Diptera)","Eupeodes latifasciatus",,"NBNSYS0100003109","Eupeodes latifasciatus","Eupeodes latifasciatus","1","female","adult",,"Diptera","Syrphidae",2021
18662589,"26175555","5914","insect - true fly (Diptera)","Platycheirus granditarsus",,"NBNSYS0100004762","Platycheirus granditarsus","Platycheirus granditarsus","1","female","adult",,"Diptera","Syrphidae",2021
18662589,"26175554","5897","insect - true fly (Diptera)","Eupeodes luniger",,"NBNSYS0000006941","Eupeodes luniger","Eupeodes luniger","1","male","adult",,"Diptera","Syrphidae",2021
18662589,"26175553","5863","insect - true fly (Diptera)","Helophilus pendulus",,"NBNSYS0000007057","Helophilus pendulus","Helophilus pendulus","1","male","adult",,"Diptera","Syrphidae",2021
18662589,"26175552","5851","insect - true fly (Diptera)","Helophilus pendulus",,"NBNSYS0000007057","Helophilus pendulus","Helophilus pendulus","1","female","adult",,"Diptera","Syrphidae",2021
18662589,"26175551","5888","insect - true fly (Diptera)","Platycheirus albimanus",,"NBNSYS0000006871","Platycheirus albimanus","Platycheirus albimanus","1","female","adult",,"Diptera","Syrphidae",2021
18662589,"26175550","5877","insect - true fly (Diptera)","Platycheirus granditarsus",,"NBNSYS0100004762","Platycheirus granditarsus","Platycheirus granditarsus","1","male","adult",,"Diptera","Syrphidae",2021
18662589,"26175549","5916","insect - true fly (Diptera)","Eristalis tenax",,"NBNSYS0000007054","Eristalis tenax","Eristalis tenax","1","female","adult",,"Diptera","Syrphidae",2021
18662589,"26175548","5889","insect - true fly (Diptera)","Meliscaeva cinctella",,"NBNSYS0000006934","Meliscaeva cinctella","Meliscaeva cinctella","1","female","adult",,"Diptera","Syrphidae",2021
18662589,"26175547","5900","insect - true fly (Diptera)","Platycheirus granditarsus",,"NBNSYS0100004762","Platycheirus granditarsus","Platycheirus granditarsus","1","female","adult",,"Diptera","Syrphidae",2021
18662589,"26175546","5917","insect - true fly (Diptera)","Helophilus pendulus",,"NBNSYS0000007057","Helophilus pendulus","Helophilus pendulus","1","female","adult",,"Diptera","Syrphidae",2021
18662589,"26175545","5855","insect - true fly (Diptera)","Syrphus ribesii",,"NBNSYS0000006964","Syrphus ribesii","Syrphus ribesii","1","male","adult",,"Diptera","Syrphidae",2021
18662589,"26175544","5901","insect - true fly (Diptera)","Platycheirus granditarsus",,"NBNSYS0100004762","Platycheirus granditarsus","Platycheirus granditarsus","1","female","adult",,"Diptera","Syrphidae",2021
18662589,"26175543","5894","insect - true fly (Diptera)","Helophilus pendulus",,"NBNSYS0000007057","Helophilus pendulus","Helophilus pendulus","1","male","adult",,"Diptera","Syrphidae",2021
18662589,"26175542","5904","insect - true fly (Diptera)","Helophilus pendulus",,"NBNSYS0000007057","Helophilus pendulus","Helophilus pendulus","1","male","adult",,"Diptera","Syrphidae",2021
18662589,"26175541","5898","insect - true fly (Diptera)","Platycheirus granditarsus",,"NBNSYS0100004762","Platycheirus granditarsus","Platycheirus granditarsus","1","female","adult",,"Diptera","Syrphidae",2021
18662589,"26175540","5906","insect - true fly (Diptera)","Platycheirus granditarsus",,"NBNSYS0100004762","Platycheirus granditarsus","Platycheirus granditarsus","1","female","adult",,"Diptera","Syrphidae",2021
18662589,"26175539","5858","insect - true fly (Diptera)","Xylota segnis",,"NBNSYS0000007115","Xylota segnis","Xylota segnis","1","male","adult",,"Diptera","Syrphidae",2021
18662589,"26175538","5874","insect - true fly (Diptera)","Helophilus pendulus",,"NBNSYS0000007057","Helophilus pendulus","Helophilus pendulus","1","male","adult",,"Diptera","Syrphidae",2021
18662589,"26175537","5909","insect - true fly (Diptera)","Helophilus pendulus",,"NBNSYS0000007057","Helophilus pendulus","Helophilus pendulus","1","female","adult",,"Diptera","Syrphidae",2021
18662589,"26175536","5854","insect - true fly (Diptera)","Sericomyia silentis",,"NBNSYS0000007093","Sericomyia silentis","Sericomyia silentis","1","male","adult",,"Diptera","Syrphidae",2021
18662589,"26175535","5869","insect - true fly (Diptera)","Helophilus pendulus",,"NBNSYS0000007057","Helophilus pendulus","Helophilus pendulus","1","female","adult",,"Diptera","Syrphidae",2021
18662589,"26175534","5850","insect - true fly (Diptera)","Helophilus pendulus",,"NBNSYS0000007057","Helophilus pendulus","Helophilus pendulus","1","female","adult",,"Diptera","Syrphidae",2021
18662589,"26175533","5865","insect - true fly (Diptera)","Helophilus pendulus",,"NBNSYS0000007057","Helophilus pendulus","Helophilus pendulus","1","male","adult",,"Diptera","Syrphidae",2021
18662589,"26175532","5915","insect - true fly (Diptera)","Eristalis tenax",,"NBNSYS0000007054","Eristalis tenax","Eristalis tenax","1","male","adult",,"Diptera","Syrphidae",2021
18662589,"26175531","5903","insect - true fly (Diptera)","Helophilus pendulus",,"NBNSYS0000007057","Helophilus pendulus","Helophilus pendulus","1","male","adult",,"Diptera","Syrphidae",2021
18662589,"26175530","5870","insect - true fly (Diptera)","Platycheirus granditarsus",,"NBNSYS0100004762","Platycheirus granditarsus","Platycheirus granditarsus","1","female","adult",,"Diptera","Syrphidae",2021
18662589,"26175529","5899","insect - true fly (Diptera)","Sericomyia silentis",,"NBNSYS0000007093","Sericomyia silentis","Sericomyia silentis","1","male","adult",,"Diptera","Syrphidae",2021
18662589,"26175528","5908","insect - true fly (Diptera)","Helophilus pendulus",,"NBNSYS0000007057","Helophilus pendulus","Helophilus pendulus","1","female","adult",,"Diptera","Syrphidae",2021
18662589,"26175527","5885","insect - true fly (Diptera)","Helophilus pendulus",,"NBNSYS0000007057","Helophilus pendulus","Helophilus pendulus","1","male","adult",,"Diptera","Syrphidae",2021
