"sample_id","country","location_code","location_name","x1km_square","sample_projection","land_cover","date","year","digitised_by","pan_trap_station","trap_active_from","trap_active_to","trap_disturbed","temperature_start","temperature_end","cloud_cover_start","cloud_cover_end","wind_speed_start","wind_speed_end","exposure_sun","cast_shadow","vegetation_height_average","habitat_main","habitat_other","moved","sample_code_bycatch","wasps_solitary","wasps_social","wasps_parasitic","sawflies","flies","moths","butterflies","beetles_pollen","beetles_other","insects_small","insects_other","spiders","all_invertebrates_excluding_bees_hoverflies","bees","hoverflies","all_invertebrates_including_bees_hoverflies"
18662589,"Northern Ireland","NI10","H4631 Killyfole","H4631","OSIE","semi-natural","01/09/2021",2021,294669,1,"11:04","17:50","no",16,17,50,30,2,3,70,20,40,"H25 - Hedgerows","H0 - not recorded",0,5848,0,0,1,0,85,0,0,0,0,0,0,0,86,0,69,155
18662551,"Northern Ireland","NI10","H4631 Killyfole","H4631","OSIE","semi-natural","01/09/2021",2021,294669,2,"10:50","17:40","no",16,17,50,30,2,3,70,50,50,"H18 - Agriculturally improved/re-seeded/ heavily fertilised grassland","H25 - Hedgerows",0,5918,0,0,3,0,99,0,0,0,0,2,0,0,104,0,76,180
18662480,"Northern Ireland","NI10","H4631 Killyfole","H4631","OSIE","semi-natural","01/09/2021",2021,294669,3,"10:20","17:25","no",15,17,50,30,2,3,70,0,50,"H18 - Agriculturally improved/re-seeded/ heavily fertilised grassland","H25 - Hedgerows",0,5995,0,0,0,0,128,0,0,0,0,0,0,0,128,1,66,195
18662287,"Northern Ireland","NI10","H4631 Killyfole","H4631","OSIE","semi-natural","01/09/2021",2021,294669,4,"10:02","17:15","no",15,17,70,30,2,3,70,70,50,"H0 - not recorded","H25 - Hedgerows",0,6062,0,0,0,0,70,0,0,0,0,0,0,0,70,0,49,119
18662089,"Northern Ireland","NI10","H4631 Killyfole","H4631","OSIE","semi-natural","01/09/2021",2021,294669,5,"09:45","17:05","no",14,17,70,30,2,3,70,1,40,"H0 - not recorded","H18 - Agriculturally improved/re-seeded/ heavily fertilised grassland",0,6112,0,0,0,0,66,0,2,0,0,0,0,0,68,0,55,123
17276959,"Northern Ireland","NI09","J3565 Carryduff","J3565","OSIE","semi-natural","11/09/2021",2021,207506,5,"10:59","17:55","yes",16,17,100,100,2,1,0,0,30,"H18 - Agriculturally improved/re-seeded/ heavily fertilised grassland",,0,5676,0,0,48,0,75,0,0,0,0,2,3,0,128,0,18,146
17276955,"Northern Ireland","NI09","J3565 Carryduff","J3565","OSIE","semi-natural","11/09/2021",2021,207506,4,"10:24","17:40","no",16,17,100,95,1,0,0,0,10,"H32 - Bare ground/herb/grass mosaics of wood rides, hedgebanks and green lanes","H18 - Agriculturally improved/re-seeded/ heavily fertilised grassland",0,5650,0,0,3,0,150,23,0,0,1,0,0,0,177,0,25,202
17276952,"Northern Ireland","NI09","J3565 Carryduff","J3565","OSIE","semi-natural","11/09/2021",2021,207506,3,"10:01","17:27","no",16,17,100,30,2,1,100,0,20,"H18 - Agriculturally improved/re-seeded/ heavily fertilised grassland","H32 - Bare ground/herb/grass mosaics of wood rides, hedgebanks and green lanes",0,5630,0,0,11,0,100,1,0,0,1,0,0,0,113,0,19,132
17276874,"Northern Ireland","NI09","J3565 Carryduff","J3565","OSIE","semi-natural","11/09/2021",2021,207506,2,"09:48","16:49","no",16,17,100,70,1,1,90,0,20,"H18 - Agriculturally improved/re-seeded/ heavily fertilised grassland","H32 - Bare ground/herb/grass mosaics of wood rides, hedgebanks and green lanes",0,5617,0,0,0,0,80,4,0,0,0,0,1,0,85,2,10,97
17276854,"Northern Ireland","NI09","J3565 Carryduff","J3565","OSIE","semi-natural","11/09/2021",2021,207506,1,"09:27","16:35","no",16,17,100,80,1,1,0,0,30,"H18 - Agriculturally improved/re-seeded/ heavily fertilised grassland","H32 - Bare ground/herb/grass mosaics of wood rides, hedgebanks and green lanes",0,5614,0,0,0,0,16,1,0,0,0,0,0,0,17,0,2,19
