Cancer_Type,Total_Individuals,Total_Mutations,Total_Severe_Mutations
Bladder_Urothelial_Carcinoma,409,142343,14220
Breast_Invasive_Carcinoma,785,88592,15544
Cervical_Squamous_Cell_Carcinoma,281,99017,7993
Cholangiocarcinoma,36,3418,317
Diffuse_Large_B_Cell_Lymphoma,37,7718,696
Glioblastoma_Multiforme,312,52794,4615
Head_and_Neck_Squamous_Cell_Carcinoma,502,105735,10822
Kidney_Chromophobe,65,3226,304
Kidney_Renal_Clear_Cell_Carcinoma,355,28402,4408
Kidney_Renal_Papillary_Cell_Carcinoma,274,24189,3702
Brain_Lower_Grade_Glioma,509,37742,4000
Liver_Hepatocellular_Carcinoma,358,56242,5806
Lung_Adenocarcinoma,508,195863,20684
Lung_Squamous_Cell_Carcinoma,464,172443,17531
Mesothelioma,81,3830,439
Ovarian_Serous_Cystadenocarcinoma,64,7160,745
Pancreatic_Adenocarcinoma,176,30868,2438
Pheochromocytoma_and_Paraganglioma,178,2607,241
Prostate_Adenocarcinoma,491,30863,3049
Sarcoma,234,25955,1958
Skin_Cutaneous_Melanoma,438,397701,23818
Stomach_Adenocarcinoma,436,213863,32641
Testicular_Germ_Cell_Tumors,144,3390,393
Thyroid_Carcinoma,484,7816,734
Thymoma,122,4344,448
Uterine_Corpus_Endometrial_Carcinoma,435,789487,74128
Uterine_Carcinosarcoma,57,10310,1233
Uveal_Melanoma,80,1900,165
Adrenocortical_Carcinoma,91,11572,1307
Colorectal_Adenocarcinoma,367,246588,31627
Esophageal_Adenocarcinoma,182,44710,3973
