Gene_ID,Cancer_Type,Gene_Mutation_Count,Gene_Severe_Mutation_Count,Gene_Individuals_with_Mutations_Count,Gene_Individuals_with_Severe_Mutations_Count
ELF3,Bladder_Urothelial_Carcinoma,71,24,57,23
CDKN1A,Bladder_Urothelial_Carcinoma,47,38,40,34
EP300,Bladder_Urothelial_Carcinoma,87,29,62,28
MUC16,Bladder_Urothelial_Carcinoma,227,24,143,23
TP53,Bladder_Urothelial_Carcinoma,242,63,200,61
RB1,Bladder_Urothelial_Carcinoma,89,61,77,57
SPTAN1,Bladder_Urothelial_Carcinoma,88,23,57,23
CREBBP,Bladder_Urothelial_Carcinoma,60,24,54,23
FAT1,Bladder_Urothelial_Carcinoma,66,24,53,22
TTN,Bladder_Urothelial_Carcinoma,504,29,227,25
KMT2D,Bladder_Urothelial_Carcinoma,174,92,121,78
KMT2A,Bladder_Urothelial_Carcinoma,70,25,51,23
STAG2,Bladder_Urothelial_Carcinoma,70,40,63,39
ARID1A,Bladder_Urothelial_Carcinoma,141,84,108,82
KMT2C,Bladder_Urothelial_Carcinoma,116,42,88,34
KDM6A,Bladder_Urothelial_Carcinoma,120,74,109,68
ZFP36L1,Bladder_Urothelial_Carcinoma,50,26,41,22
