Gene_ID,Cancer_Type,Gene_Mutation_Count,Gene_Severe_Mutation_Count,Gene_Individuals_with_Mutations_Count,Gene_Individuals_with_Severe_Mutations_Count
MUC16,Colorectal_Adenocarcinoma,361,32,127,22
MBD6,Colorectal_Adenocarcinoma,42,26,34,22
TTN,Colorectal_Adenocarcinoma,928,98,229,53
RNF43,Colorectal_Adenocarcinoma,50,35,39,32
KMT2D,Colorectal_Adenocarcinoma,106,28,60,21
ZFP36L2,Colorectal_Adenocarcinoma,28,23,27,23
KMT2B,Colorectal_Adenocarcinoma,81,23,55,21
FAT4,Colorectal_Adenocarcinoma,219,27,104,20
SOX9,Colorectal_Adenocarcinoma,63,42,53,41
BCL9L,Colorectal_Adenocarcinoma,43,21,37,19
FBXW7,Colorectal_Adenocarcinoma,82,31,65,28
ZFHX4,Colorectal_Adenocarcinoma,140,21,86,20
ZNF469,Colorectal_Adenocarcinoma,84,23,61,19
SYNE1,Colorectal_Adenocarcinoma,318,40,124,25
SYNE2,Colorectal_Adenocarcinoma,119,23,58,19
ARID1A,Colorectal_Adenocarcinoma,59,35,51,32
BMPR2,Colorectal_Adenocarcinoma,53,27,35,21
ANK3,Colorectal_Adenocarcinoma,90,22,52,21
TP53,Colorectal_Adenocarcinoma,258,56,241,54
PRKDC,Colorectal_Adenocarcinoma,86,25,49,22
LRP1B,Colorectal_Adenocarcinoma,178,25,83,22
CSMD3,Colorectal_Adenocarcinoma,161,24,78,20
APC,Colorectal_Adenocarcinoma,474,405,282,270
AMER1,Colorectal_Adenocarcinoma,62,41,56,41
ACVR2A,Colorectal_Adenocarcinoma,37,20,32,20
ATM,Colorectal_Adenocarcinoma,79,27,54,25
