Gene_ID,Cancer_Type,Gene_Mutation_Count,Gene_Severe_Mutation_Count,Gene_Individuals_with_Mutations_Count,Gene_Individuals_with_Severe_Mutations_Count
CD58,Diffuse_Large_B_Cell_Lymphoma,3,3,3,3
IGHG2,Diffuse_Large_B_Cell_Lymphoma,33,3,8,3
CCDC170,Diffuse_Large_B_Cell_Lymphoma,2,2,2,2
TNFAIP3,Diffuse_Large_B_Cell_Lymphoma,7,5,6,5
SPEN,Diffuse_Large_B_Cell_Lymphoma,3,3,3,3
BTG1,Diffuse_Large_B_Cell_Lymphoma,14,2,9,2
BCL10,Diffuse_Large_B_Cell_Lymphoma,4,2,2,2
CSK,Diffuse_Large_B_Cell_Lymphoma,3,2,3,2
MYO9B,Diffuse_Large_B_Cell_Lymphoma,5,2,5,2
SETD1B,Diffuse_Large_B_Cell_Lymphoma,5,3,5,3
KMT2D,Diffuse_Large_B_Cell_Lymphoma,17,11,13,10
CIITA,Diffuse_Large_B_Cell_Lymphoma,8,3,7,3
CD70,Diffuse_Large_B_Cell_Lymphoma,4,4,4,4
IGLV3-1,Diffuse_Large_B_Cell_Lymphoma,56,4,16,4
UBE2A,Diffuse_Large_B_Cell_Lymphoma,4,2,4,2
PEX5L,Diffuse_Large_B_Cell_Lymphoma,2,2,2,2
SRSF1,Diffuse_Large_B_Cell_Lymphoma,2,2,2,2
SOCS1,Diffuse_Large_B_Cell_Lymphoma,19,3,7,3
UBR5,Diffuse_Large_B_Cell_Lymphoma,3,2,3,2
IGLL5,Diffuse_Large_B_Cell_Lymphoma,81,4,19,2
ARID1A,Diffuse_Large_B_Cell_Lymphoma,4,3,4,3
NOTCH2,Diffuse_Large_B_Cell_Lymphoma,2,2,2,2
TET2,Diffuse_Large_B_Cell_Lymphoma,4,2,4,2
B2M,Diffuse_Large_B_Cell_Lymphoma,12,5,9,5
ARHGAP21,Diffuse_Large_B_Cell_Lymphoma,4,2,4,2
IGHJ5,Diffuse_Large_B_Cell_Lymphoma,11,2,8,2
UACA,Diffuse_Large_B_Cell_Lymphoma,7,2,6,2
TMSB4X,Diffuse_Large_B_Cell_Lymphoma,9,2,7,2
TMEM30A,Diffuse_Large_B_Cell_Lymphoma,3,2,3,2
NFKBIE,Diffuse_Large_B_Cell_Lymphoma,8,3,5,2
PIM1,Diffuse_Large_B_Cell_Lymphoma,72,3,10,3
IGHV2-70,Diffuse_Large_B_Cell_Lymphoma,80,4,19,3
ITPKB,Diffuse_Large_B_Cell_Lymphoma,9,3,6,3
IGHG1,Diffuse_Large_B_Cell_Lymphoma,32,2,8,2
IGKV1-5,Diffuse_Large_B_Cell_Lymphoma,15,3,6,2
NFKBIA,Diffuse_Large_B_Cell_Lymphoma,7,3,5,2
BTG2,Diffuse_Large_B_Cell_Lymphoma,20,2,13,2
CSNK2A1,Diffuse_Large_B_Cell_Lymphoma,4,3,3,3
HLA-B,Diffuse_Large_B_Cell_Lymphoma,4,3,4,3
