Gene_ID,cds_length
MT-ND1,956
MT-ND2,1042
MT-CO1,1542
MT-CO2,684
MT-ATP8,207
MT-ATP6,681
MT-CO3,784
MT-ND3,346
MT-ND4L,297
MT-ND4,1378
MT-ND5,1812
MT-ND6,525
MT-CYB,1141
MAFIP,390
RYBP,687
ACR,1266
OGN,897
OMD,1266
SHANK3,5421
IARS1,3789
PRAMEF11,1437
HNRNPCL1,882
PRAMEF2,1425
PRAMEF4,1437
PRAMEF10,1425
PRAMEF7,1425
PRAMEF6,1431
PRAMEF27,1437
HNRNPCL3,882
PRAMEF25,1437
NOL8,3504
HNRNPCL2,882
PRAMEF26,1437
HNRNPCL4,882
PRAMEF9,1437
ARHGEF19,2409
PRAMEF13,1425
CENPP,867
PRAMEF18,1440
PRAMEF5,1431
ECM2,2100
CPLANE2,777
PRAMEF8,1425
ACTG1,1128
ASPN,1140
FBXO42,2154
SZRD1,459
PRAMEF33,1425
SPATA21,1410
PRAMEF22,1440
NECAP2,822
BAHCC1,7920
PADI2,1998
NBPF1,5115
CNTNAP3C,2238
OR8J2,948
OR5T2,1080
OR5T3,1023
OR5T1,981
OR8H1,936
OR8K3,939
OR8K1,960
OR8J1,951
OR8U8,960
OR8U9,930
SYT15B,1425
NPY4R2,1128
FAM25C,270
GRK1,1692
TSPY8,927
TSPY4,945
TSPY9,945
HMX1,1047
C1R,2160
OR4C12,930
OR4C45,921
C1RL,1464
FAM20C,1755
RBP5,408
CLSTN3,2871
PEX5,1983
SERTAD4,1071
HHAT,1485
GCGR,1572
MCRIP1,357
PPP1R27,465
CRLF2,1116
BCL2L14,1083
PLCXD1,972
LRP6,4842
AKAP17A,2088
PPP2R3B,1728
P2RY8,1080
IL3RA,1137
MANSC1,1296
ZBED1,2085
BORCS5,591
DHRSX,993
DUSP16,1998
SLC25A6,897
ASMT,1122
ASMTL,1866
CSF2RA,1203
SHOX,879
GTPBP6,1551
CD99,558
OBP2B,513
SURF6,1086
WASH6P,1437
MED22,603
VAMP7,663
RPL7A,801
IL9R,1566
SURF1,903
BPY2,321
SURF2,771
SURF4,810
ECSCR,618
SMIM33,399
STING1,1140
STKLD1,2043
TGIF2LY,558
CDY2A,1626
REXO4,1269
BPY2C,321
CDY2B,1626
SRY,615
VCY,378
AMELY,579
ADAMTS13,4284
VCY1B,378
RPS4Y2,792
CDY1B,1623
BPY2B,321
CDY1,1665
TSPY3,927
CACFD1,702
SLC2A6,1524
TSPY1,927
ABO,1065
OR9G1,918
OR9G9,918
OR9G4,984
OR5G3,936
TOLLIP,825
BRSK2,2301
DUSP8,1878
KRTAP5-1,837
KRTAP5-2,534
KRTAP5-3,717
KRTAP5-4,687
KRTAP5-5,714
MOB2,807
ZKSCAN7,2265
ZNF660,996
ZNF197,3090
ZNF35,1584
ZNF502,1635
ZNF501,816
KIAA1143,465
KIF15,4167
H3-4,411
H2AC25,393
H2BC26,381
RNF187,708
EIF1AY,435
RHOU,777
TMEM42,480
TGM4,2055
TSPY10,927
ZNF852,1008
RPS4Y1,792
RBMY1B,1491
TSPY2,927
TRIM71,2607
CNOT10,2415
RBMY1F,1491
NLGN4Y,2511
LEUTX,597
DYRK1B,1890
FBL,966
DAZ1,2235
PSMC4,1257
RBMY1E,1491
ZNF546,2511
ZNF780B,2502
RBMY1D,1491
ZNF780A,1929
DAZ4,2172
FCGBP,16218
DDX3Y,1983
FRG2,837
FRG1,777
DUX4L8,1275
DUX4,1275
CARMIL3,4119
TBL1Y,1569
CPNE6,1839
USP9Y,7668
GPR20,1077
PTP4A3,522
C8orf90,579
MROH5,3957
NRL,714
PCK2,1923
ELP5,951
DCAF11,1641
CLDN7,636
SLC2A4,1530
HSFY2,1206
ZFY,2406
YBX2,1095
DAZ3,1317
EIF5A,561
FITM1,879
PSME1,753
RBMY1J,1491
GPS2,984
DAZ2,1965
EMC9,627
TNK1,2001
PSME2,765
PLSCR3,888
NEURL4,4689
RBMY1A1,1491
TMEM256-PLSCR3,207
TMEM256,342
NLGN2,2508
RNF31,3219
SPEM1,930
SPEM2,1506
SPEM3,3591
TMEM102,1527
FGF11,678
HSFY1,1206
PCDH11Y,3747
CHRNB1,1506
TMSB4Y,135
UTY,4335
ACAP1,2223
ZBTB4,3042
SLC35G6,1017
IRF9,1182
POLR2A,5913
KCTD11,816
TMEM95,612
REC8,1644
IPO4,3246
ORAI1,906
KDM5D,4620
TM9SF1,1821
NAT8,684
TPRKB,645
DUSP11,1023
TSSK4,1017
C2orf78,2769
NAT8B,684
KBTBD4,1632
CHMP4A,669
FAM180B,552
C1QTNF4,990
AGBL2,2715
MDP1,531
NEDD8-MDP1,510
NEDD8,246
FNBP4,3054
GMPR2,1284
MTCH2,912
C6orf52,459
PAK1IP1,1179
TMEM14C,339
GCNT2,1209
CCDC40,3429
GAA,2859
EIF4A3,1236
TINF2,1356
TGM1,2454
RABGGTA,1704
DHRS1,942
RPS6KA1,2235
NOP9,1911
CIDEB,660
LTB4R2,1170
LTB4R,1059
ADCY4,3234
RIPK3,1557
NFATC4,2895
DHRS4,837
ITGA9,3108
NXNL2,471
ADIPOR2,1161
CACNA2D4,3465
CTIF,1803
ISLR,1287
IBTK,4062
STRA6,2121
LRTM2,1113
TPBG,1263
DCP1B,1854
CCDC33,2922
CYP11A1,1566
CACNA1C,6756
SEMA7A,2001
UBL7,1143
KPNA7,1551
PADI1,1992
PADI3,1995
PADI4,1992
PADI6,2085
RCC2,1569
CENATAC,999
RPS25,378
TRAPPC4,774
HYOU1,3003
SLC16A1,1503
VPS11,2826
MLXIP,2760
SLC37A4,1290
XYLT1,2880
SLC25A26,825
SAA1,369
PCP4,189
DSCAM,6039
HPS5,3390
GTF2H1,1647
PLCL2,3384
LDHA,1086
TMEM131,5652
FAHD2B,945
ANKRD36,5748
COX5B,390
ACTR1B,1131
C2orf92,798
ANKRD36B,4062
ZAP70,1860
DDX51,2001
NOC4L,1551
CTTN,1905
GALNT9,1812
PPFIA1,3729
HBP1,1545
RTP1,792
RTP4,741
MASP1,2187
COG5,2583
PCDHA1,2853
PCDHA2,2847
PCDHA3,2853
PCDHA4,2844
PCDHA5,2811
PCDHA6,2853
PCDHA7,2814
PCDHA8,2853
PCDHA9,2853
PCDHA10,2847
PCDHA11,2850
PCDHA12,2826
PCDHA13,2853
PCDHAC2,3024
PCDHB1,2457
PCDHAC1,2892
GPR22,1302
PCDHB2,2397
DUS4L,954
PCDHB4,2388
PCDHB5,2388
PCDHB6,2385
PCDHB7,2382
PCDHB8,2406
PCDHB16,2331
PCDHB9,2394
PCDHB10,2403
PCDHB11,2394
PCDHB12,2388
PCDHB13,2397
PCDHB14,2397
BCAP29,723
PCDHB15,2364
PCDHB3,2391
GJA10,1632
CASP8AP2,5949
KLLN,534
PTEN,1731
LIAT1,1272
VPS53,2499
RFLNB,645
RNF135,1299
OMG,1323
EVI2B,1347
OR4M2,939
OR4N4,948
POTEB,1632
NIPA1,987
CYFIP1,3759
GOLGA6L1,1248
SLC5A11,2028
GOLGA8DP,1905
GOLGA6L2,1242
MAGEL2,3747
NDN,324
GOLGA6L6,1422
POTEB2,1746
POTEB3,1746
OR4M2B,939
OR4N4C,948
ARHGAP17,2646
KAT6B,6222
RNF139,1995
TATDN1,966
HSF1,1590
DGAT1,1467
ZNF558,1209
MBD3L1,585
MUC16,46050
SCRT1,1047
CATSPERQ,708
FBXL6,1620
ADCK5,1743
CPSF1,4332
MED10,408
UBE2QL1,486
MEF2D,1566
IQGAP3,4896
DUSP29,663
TTC24,1749
HAPLN2,1023
GPATCH4,1341
SLC39A4,1944
VPS28,702
COL3A1,4401
SLC52A2,1338
LTN1,5439
RWDD2B,960
USP16,2472
CCT8,1647
MAP3K7CL,729
OR4K2,945
OR4K5,972
OR4K1,936
OR4K15,975
OR4K14,933
OR4K13,915
OR4L1,939
OR4K17,939
OR4N5,927
OR11G2,936
OR11H6,993
OR11H4,945
TTC5,1323
CCNB1IP1,834
PARP2,1752
TEP1,7884
KLHL33,2394
OSGEP,1008
APEX1,957
PIP4P1,855
PNP,987
RNASE10,651
OR4K3,947
OR4Q2,942
OR11H7,945
SEL1L2,2067
TCEAL2,684
BEX5,336
TCEAL6,603
ZNF496,1764
VN1R5,1074
APOB,13692
TDRD15,5805
NKRF,2355
ERICH6B,2091
OR8U1,930
OR8U3,975
PRR20B,666
OR5M9,933
OR5M3,924
OR5AL1,990
OR5M8,936
PRR20D,666
GPRC5C,1461
PRR20E,666
CD300A,900
CD300LB,606
CD300C,675
CD300LD,585
POU4F1,1260
CD300H,606
PRR20A,666
IFNL3,603
IFNL2,603
IFNL1,603
LRFN1,2316
GMFG,429
PRR20C,666
IFNL4,540
SOX1,1176
NALF1,1377
FCER1A,774
OR10J1,963
OR10J3,990
OR10J4,936
CSNK1A1L,1014
LRTM3,21246
BIVM-ERCC5,4923
PNLIPRP1,1404
SPMIP5,705
PNLIPRP2,1410
SLITRK1,2091
KBTBD6,2025
KBTBD7,2055
CCDC70,669
KCTD12,978
SLC10A2,1047
HNRNPA1L2,963
ZIC5,1920
GSX1,795
OR52J3,936
OR52E2,978
OR52E1,927
INPP5D,3570
ATP4B,876
ATG16L1,1875
GBA3,1410
KCTD4,780
PABPC3,1896
AMER2,2016
CCDC169-SOHLH2,1509
ACOD1,1446
GPC6,1668
TMPRSS15,3060
SOX21,831
SQSTM1,1323
KRTAP25-1,309
RUFY1,2127
SAG,1218
CLDN17,675
URAD,522
KRTAP24-1,765
CLDN8,678
RNF113B,969
CBY3,729
CANX,1779
C13orf46,639
EIF3K,657
C13orf42,978
CFAP298-TCP10L,1170
ACTN4,2736
MAML1,3051
LTC4S,453
GET1-SH3BGR,822
MGAT4B,1692
TFF2,390
LGALS4,972
H2BC12L,381
KRTAP10-1,849
KRTAP10-2,768
KRTAP10-3,666
KRTAP10-5,816
KRTAP10-6,1098
KRTAP10-7,1113
KRTAP10-8,780
KRTAP10-10,756
KRTAP10-11,897
ECH1,987
KRTAP12-4,339
KRTAP12-3,291
KRTAP12-2,441
KRTAP12-1,291
OLIG1,816
KRTAP8-1,192
KRTAP7-1,264
KRTAP11-1,492
KRTAP19-8,192
ADAMTSL3,5076
HNRNPL,1770
MRNIP,1032
ERVH48-1,483
SH3GL3,1068
KRTAP10-9,879
KRTAP10-4,1206
ZSCAN2,1845
WDR73,1137
KRTAP26-1,633
KRTAP27-1,624
KRTAP13-2,528
KRTAP13-1,519
KRTAP15-1,414
KRTAP19-1,273
NMB,465
KRTAP19-2,159
KRTAP19-3,246
KRTAP19-4,255
KRTAP19-5,219
RINL,1701
KRTAP19-6,177
KRTAP19-7,192
KRTAP22-2,138
KRTAP22-1,147
KRTAP20-1,171
KRTAP20-4,135
KRTAP20-2,198
KRTAP20-3,135
KRTAP21-3,177
KRTAP21-2,252
KRTAP21-1,240
KRTAP23-1,198
KRTAP13-3,519
SIRT2,1170
KRTAP13-4,483
TBC1D9B,3753
KRTAP6-2,189
KRTAP6-1,216
SYT8,1206
TNNI2,549
LSP1,1404
HNRNPH1,1359
NFKBIB,1071
RASA3,2505
CCER2,801
SARS2,1563
KRTAP10-12,738
MRPS12,417
FBXO17,837
PRR33,1440
TNNT3,810
CAPN12,2160
LGALS7B,411
LGALS7,411
MRPL23,576
OR4F4,972
ZP2,2238
TWIST2,483
ANKS4B,1254
NPIPB5,3150
POLR3E,2127
EEF2K,2178
MOSMO,501
PDZD9,795
NPIPB4,3162
METTL9,846
IGSF6,726
NPIPB11,3147
PTCHD3,2865
PFDN5,471
MYG1,1131
AAAS,1641
SP7,1296
OR10A3,945
OR5P2,969
OR5P3,936
OR10A6,945
NLRP10,1968
MSRB1,681
RPL3L,1224
NDUFB10,519
RPS2,882
RNF151,738
TBL3,2427
DLG5,5760
NOXO1,1131
GFER,618
SYNGR3,719
NPW,498
ZNF598,2715
DEFA5,285
MSRA,708
CMC2,282
CENPN,1062
ATMIN,2472
C16orf46,1188
GCSH,522
XKR5,2061
DEFA1B,285
FAM90A19,1395
FAM90A7,1395
FAM90A10,1395
PRR23D1,840
DEFB107B,213
DEFB106B,198
DEFB104B,219
DEFB103B,204
DEFB4B,195
USP17L4,1593
USP17L1,1593
FAM90A20,1395
FAM90A3,1395
FAM90A23,1395
USP17L7,1181
ZNF705D,903
DEFB130B,240
DEFB134,201
DEFB135,234
DEFB136,237
OOSP1,603
CTSB,1116
OOSP4A,555
OOSP4B,483
OOSP2,477
MS4A3,645
RPN2,1965
GHRH,327
MANBAL,258
SRC,1662
MROH8,3159
FDFT1,1425
NEIL2,999
GATA4,1332
PHLDA2,459
CARS1,2496
BLK,1518
FAM167A,645
SLC35G5,1017
MTMR9,1650
XKR6,1149
PINX1,1017
SOX7,1167
RP1L1,7182
C8orf74,885
PRSS55,1059
PRSS51,798
TNKS,3984
C1GALT1C1,957
CT47B1,900
PPP1R3B,858
CT47A6,867
CT47A5,867
ERI1,1050
CT47A4,867
MFHAS1,3159
CT47A3,867
CT47A2,867
CLDN23,879
CT47A1,867
GLUD2,1677
PRAG1,4215
FAM90A9,1395
FAM90A17,1395
FAM90A16,1395
ZNF705G,903
PRR23D2,1038
DEFB107A,213
DEFB105A,234
DEFB106A,195
DEFB104A,219
SPAG11A,402
DEFB103A,204
DEFB4A,195
KCNQ1,517
ZNF705B,903
USP17L8,1593
USP17L3,1593
NAP1L4,1161
FAM86B2,993
LONRF1,2322
TRMT9B,1365
DLC1,3276
AGPAT5,1095
DEFB1,207
DEFA6,303
DEFA4,294
DEFA1,285
DEFA3,285
DEFB105B,237
SPAG11B,402
CDKN1C,951
DEFB108C,252
DEFB109B,264
DEFB109D,264
DEFB109C,264
FAM90A12,1395
FAM86B1,984
SLC67A1,1275
LRRC56,1629
PHRF1,4950
CASP12,1026
TAS2R7,957
